dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
autoUniv-au6-750,LightGBM,675,75,8,0.797180712223053,1.849509835243225,0.09239759296178818,0.36000001430511475,0.03920214902609587
autoUniv-au6-750,LinearModel,675,75,8,0.8532795310020447,2.003349542617798,0.07282467186450958,0.2133333384990692,0.09659275785088539
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8513337969779968,1.9867714643478394,0.09123143553733826,0.23999999463558197,0.04703733790665865
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.856050431728363,1.9996674060821533,0.05650031566619873,0.2266666740179062,0.1710240477696061
autoUniv-au6-750,RandomForest,675,75,8,0.7723038792610168,1.819065809249878,0.1377563327550888,0.3733333349227905,0.10750797111541033
autoUniv-au6-750,XGBoost,675,75,8,0.8193144202232361,1.9280004501342773,0.08276564627885818,0.30666667222976685,0.08479712344706059
autoUniv-au7-1100,CatBoost,990,110,5,0.7306399345397949,1.4145845174789429,0.14998917281627655,0.41818180680274963,0.0683798287063837
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7519412636756897,1.4637956619262695,0.15683655440807343,0.4272727370262146,0.07197460439056158
autoUniv-au7-1100,LightGBM,990,110,5,0.7305737733840942,1.4126025438308716,0.09913406521081924,0.38181817531585693,0.07778368797153234
autoUniv-au7-1100,LinearModel,990,110,5,0.7624519467353821,1.5080589056015015,0.08503177762031555,0.37272727489471436,0.06942128948867321
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7392016053199768,1.4341771602630615,0.04838598147034645,0.37272727489471436,0.07078492548316717
