dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
autoUniv-au7-1100,RandomForest,990,110,5,0.7140586485958772,1.405447625698009,0.09001540392637253,0.40909090638160706,0.06658244971185923
autoUniv-au7-1100,XGBoost,990,110,5,0.7189019370021906,1.3912675676505124,0.12728354334831238,0.38181817531585693,0.0652298191562295
autoUniv-au7-700,CatBoost,630,70,3,0.5733196718593465,0.9513529579657196,0.14491470158100128,0.4714285731315613,0.05311816930770874
autoUniv-au7-700,ExtraTrees,630,70,3,0.5662652214024668,0.9399831642411323,0.10879968106746674,0.4571428596973419,0.03774671349674463
autoUniv-au7-700,LightGBM,630,70,3,0.5322153782946445,0.8873981204053728,0.14782577753067017,0.48571428656578064,0.027494512498378754
autoUniv-au7-700,LinearModel,630,70,3,0.6737775180743663,1.1096885763118898,0.12148592621088028,0.34285715222358704,0.02824654709547758
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.6170847973883378,1.0250911686113149,0.10075835138559341,0.48571428656578064,0.04093777108937502
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6270345032302658,1.0360020681461428,0.09049733728170395,0.4571428596973419,0.027668357826769352
autoUniv-au7-700,RandomForest,630,70,3,0.5386365568202633,0.8825857881451237,0.18111756443977356,0.5285714268684387,0.038494931533932686
autoUniv-au7-700,XGBoost,630,70,3,0.5408510999137776,0.9065094996552783,0.12353745102882385,0.5428571701049805,0.028523708693683147
balance-scale,CatBoost,562,63,3,0.020026053377424382,0.04764807011227931,0.038553353399038315,1.0,0.0415025120601058
balance-scale,ExtraTrees,562,63,3,0.09110691562574695,0.1671070218217972,0.05896180123090744,0.920634925365448,0.032076744362711906
balance-scale,LightGBM,562,63,3,0.038477078185892216,0.07114312124802476,0.042689982801675797,0.9841269850730896,0.03940908331423998
balance-scale,LinearModel,562,63,3,0.09078211752592623,0.1682304520296894,0.038154393434524536,0.920634925365448,0.04409476835280657
balance-scale,NeuralNetFastAI,562,63,3,0.008501780556551437,0.020941896826011573,0.017236730083823204,1.0,0.03138051275163889
balance-scale,NeuralNetTorch,562,63,3,0.0008477188497435219,0.004277079917411335,0.004012495279312134,1.0,0.031041285023093224
balance-scale,RandomForest,562,63,3,0.09480451261976335,0.17609437080171583,0.0559786893427372,0.9047619104385376,0.024267200380563736
