dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
mfeat-factors,XGBoost,1800,200,10,0.04946348816156387,0.16186589002609253,0.067908376455307,0.9750000238418579,0.1812555380165577
micro-mass,CatBoost,513,58,20,0.09773054718971252,0.2789369821548462,0.14407765865325928,0.9482758641242981,0.3468909151852131
micro-mass,ExtraTrees,513,58,20,0.11798590421676636,0.30013951659202576,0.11639454215765,0.9137930870056152,0.24701939523220062
micro-mass,LightGBM,513,58,20,0.12151318043470383,0.3405277729034424,0.10395555943250656,0.9137930870056152,0.3495643883943558
micro-mass,LinearModel,513,58,20,0.10345404595136642,0.29681575298309326,0.10940606147050858,0.931034505367279,0.3395934887230396
micro-mass,NeuralNetFastAI,513,58,20,0.24122990667819977,0.5692235231399536,0.15131352841854095,0.8448275923728943,0.43160412833094597
micro-mass,NeuralNetTorch,513,58,20,0.0838390365242958,0.2531915307044983,0.13346892595291138,0.9482758641242981,0.33293595537543297
micro-mass,RandomForest,513,58,20,0.13242404162883759,0.3247210383415222,0.12200438231229782,0.8965517282485962,0.21619901061058044
micro-mass,XGBoost,513,58,20,0.13840261101722717,0.3544037938117981,0.1312916874885559,0.931034505367279,0.3740967586636543
microaggregation2,CatBoost,18000,2000,5,0.4825138449668884,0.9131338596343994,0.022777009755373,0.6359999775886536,0.2885608561336994
microaggregation2,ExtraTrees,18000,2000,5,0.4930248558521271,0.9371361136436462,0.026710012927651405,0.6269999742507935,0.290939562022686
microaggregation2,LightGBM,18000,2000,5,0.47909969091415405,0.9056501984596252,0.02690168283879757,0.640999972820282,0.28900347650051117
microaggregation2,LinearModel,18000,2000,5,0.54880690574646,1.0402953624725342,0.025733083486557007,0.5864999890327454,0.2882468141615391
microaggregation2,NeuralNetFastAI,18000,2000,5,0.45954152941703796,0.8700098991394043,0.027154352515935898,0.6504999995231628,0.28780821710824966
microaggregation2,NeuralNetTorch,18000,2000,5,0.46788808703422546,0.8853174448013306,0.027725541964173317,0.6434999704360962,0.28857041522860527
microaggregation2,RandomForest,18000,2000,5,0.49491384625434875,0.9437657594680786,0.022093329578638077,0.6284999847412109,0.2883448638021946
microaggregation2,XGBoost,18000,2000,5,0.48213624954223633,0.9127568602561951,0.030279461294412613,0.6370000243186951,0.28842778503894806
okcupid-stem,CatBoost,45710,5079,3,0.3364715278148651,0.5693415403366089,0.01633869856595993,0.7621579170227051,0.39496976882219315
okcupid-stem,ExtraTrees,45710,5079,3,0.35565489530563354,0.5961790680885315,0.015855327248573303,0.7442409992218018,0.39458024501800537
okcupid-stem,LightGBM,45710,5079,3,0.3393886685371399,0.5717204213142395,0.015002518892288208,0.7594014406204224,0.39067773148417473
okcupid-stem,LinearModel,45710,5079,3,0.3447283208370209,0.5807659029960632,0.016930531710386276,0.7560543417930603,0.3926355168223381
okcupid-stem,NeuralNetFastAI,45710,5079,3,0.3429538607597351,0.5772790908813477,0.01852862536907196,0.754676103591919,0.3917570933699608
okcupid-stem,NeuralNetTorch,45710,5079,3,0.33782854676246643,0.5696772933006287,0.01952662132680416,0.7633392214775085,0.38994260504841805
okcupid-stem,RandomForest,45710,5079,3,0.35458528995513916,0.5947187542915344,0.01574805937707424,0.7452254295349121,0.3949739933013916
okcupid-stem,XGBoost,45710,5079,3,0.33968213200569153,0.5722625255584717,0.015109737403690815,0.7595983743667603,0.3918985389173031
optdigits,CatBoost,5058,562,10,0.02306559681892395,0.09958314150571823,0.06138484179973602,0.9875444769859314,0.2348722107708454
optdigits,ExtraTrees,5058,562,10,0.023403985425829887,0.10207654535770416,0.05935985594987869,0.9893238544464111,0.21093181893229485
optdigits,LightGBM,5058,562,10,0.023155629634857178,0.0987485945224762,0.0591144785284996,0.9839857816696167,0.2305135652422905
optdigits,LinearModel,5058,562,10,0.054374873638153076,0.1486448347568512,0.07559242099523544,0.9661921858787537,0.22995088249444962
optdigits,NeuralNetFastAI,5058,562,10,0.029487159103155136,0.10639779269695282,0.056283239275217056,0.9839857816696167,0.2550736963748932
optdigits,NeuralNetTorch,5058,562,10,0.02146967314183712,0.09748676419258118,0.06300019472837448,0.9893238544464111,0.2268010377883911
optdigits,RandomForest,5058,562,10,0.037346649914979935,0.12943558394908905,0.06122974306344986,0.9839857816696167,0.2133548967540264
optdigits,XGBoost,5058,562,10,0.03141169995069504,0.10991685837507248,0.05680587887763977,0.9786477088928223,0.26353535801172256
page-blocks,CatBoost,4925,548,5,0.043592095375061035,0.0917200967669487,0.013016721233725548,0.9689781069755554,0.09890636429190636
page-blocks,ExtraTrees,4925,548,5,0.04363761842250824,0.09527584910392761,0.012267488054931164,0.9726277589797974,0.09509612247347832
page-blocks,LightGBM,4925,548,5,0.04365604370832443,0.09670739620923996,0.015366688370704651,0.9689781069755554,0.10056577622890472
page-blocks,LinearModel,4925,548,5,0.042533598840236664,0.09159141033887863,0.01926250569522381,0.970802903175354,0.10506708920001984
page-blocks,NeuralNetFastAI,4925,548,5,0.049890585243701935,0.10528284311294556,0.01932683028280735,0.9653284549713135,0.10291721299290657
page-blocks,NeuralNetTorch,4925,548,5,0.04363669082522392,0.093162402510643,0.011717498302459717,0.970802903175354,0.10055560618638992
page-blocks,RandomForest,4925,548,5,0.0417616181075573,0.09216994047164917,0.00999356247484684,0.9762773513793945,0.09110362082719803
page-blocks,XGBoost,4925,548,5,0.041437748819589615,0.08873540908098221,0.01639966480433941,0.974452555179596,0.09741207584738731
