dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
baseball,XGBoost,1206,134,3,0.07680038954909506,0.1737439315097477,0.028532490134239197,0.9477611780166626,0.001468287780880928
car,CatBoost,1555,173,4,0.0037791985341111586,0.006181125085758289,0.0045859175734221935,0.9942196607589722,0.00197046622633934
car,ExtraTrees,1555,173,4,0.015260726988675912,0.4098374476087978,0.013168072327971458,0.9884393215179443,0.0019507519900798798
car,LightGBM,1555,173,4,3.000000000000001e-60,0.0,5.960464477539063e-08,1.0,0.001956406980752945
car,LinearModel,1555,173,4,0.0773034597157525,0.12070652609046056,0.05298246443271637,0.9190751314163208,0.001986488699913025
car,NeuralNetFastAI,1555,173,4,0.000669150458720981,0.0015907970995757525,0.0013907293323427439,1.0,0.0019536353647708893
car,NeuralNetTorch,1555,173,4,0.000669150458720981,0.0015907970995757525,0.0013907293323427439,1.0,0.001957293599843979
car,RandomForest,1555,173,4,0.0336063071548812,0.07688353345317983,0.015368406660854816,0.9826589822769165,0.0019630324095487595
car,XGBoost,1555,173,4,8.028259473346173e-05,0.000502955936356241,0.00048175573465414345,1.0,0.0019883476197719574
cardiotocography,CatBoost,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.004528045654296875
cardiotocography,ExtraTrees,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.004498925060033798
cardiotocography,LightGBM,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.004427334293723106
cardiotocography,LinearModel,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.00437348335981369
cardiotocography,NeuralNetFastAI,1913,213,10,0.00036353672732286147,0.0010286787610423974,0.0009238439961336553,1.0,0.0042143333703279495
cardiotocography,NeuralNetTorch,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.004246853291988373
cardiotocography,RandomForest,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.004443004727363586
cardiotocography,XGBoost,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.004564443603157997
cmc,CatBoost,1325,148,3,0.5051206531225215,0.8527248817721281,0.0553579144179821,0.6013513803482056,0.001500297337770462
cmc,ExtraTrees,1325,148,3,0.5091245915068552,0.8634084493551855,0.0899280458688736,0.587837815284729,0.0015442147850990295
cmc,LightGBM,1325,148,3,0.5247072089790441,0.8854770080676467,0.0981040745973587,0.5675675868988037,0.001561332494020462
cmc,LinearModel,1325,148,3,0.5225386084008132,0.8728284544012558,0.10808651149272919,0.6013513803482056,0.001549573615193367
cmc,NeuralNetFastAI,1325,148,3,0.50169973885015,0.8474015389168148,0.09472700208425522,0.5675675868988037,0.00155726820230484
cmc,NeuralNetTorch,1325,148,3,0.5056223854210412,0.8572547465251649,0.12908850610256195,0.6283783912658691,0.0015583336353302002
