dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
connect-4,LinearModel,60801,6756,3,0.3345256447792053,0.5944709181785583,0.013395735993981361,0.757844865322113,0.391940426081419
connect-4,NeuralNetFastAI,60801,6756,3,0.16658960282802582,0.2992088198661804,0.017308492213487625,0.8833629488945007,0.3385122986510396
connect-4,NeuralNetTorch,60801,6756,3,0.17499816417694092,0.313846617937088,0.022246049717068672,0.8784784078598022,0.32327956333756447
connect-4,RandomForest,60801,6756,3,0.2609889805316925,0.47218507528305054,0.01880588009953499,0.8145352005958557,0.36332829110324383
connect-4,XGBoost,60801,6756,3,0.17835839092731476,0.32052117586135864,0.015423154458403587,0.873741865158081,0.3707733517512679
dilbert,CatBoost,9000,1000,5,0.024282122030854225,0.04680200666189194,0.006254108157008886,0.9829999804496765,0.08985173888504505
dilbert,ExtraTrees,9000,1000,5,0.03698766604065895,0.07445986568927765,0.011986159719526768,0.9769999980926514,0.08937585819512606
dilbert,LightGBM,9000,1000,5,0.011440043337643147,0.02692697010934353,0.004270171746611595,0.9919999837875366,0.07867931202054024
dilbert,LinearModel,9000,1000,5,0.09085927903652191,0.16555222868919373,0.023144228383898735,0.9380000233650208,0.09153560921549797
dilbert,NeuralNetFastAI,9000,1000,5,0.01897374726831913,0.037278153002262115,0.00898345559835434,0.9879999756813049,0.08108155056834221
dilbert,NeuralNetTorch,9000,1000,5,0.013116528280079365,0.02846726030111313,0.011428950354456902,0.9919999837875366,0.07379809021949768
dilbert,RandomForest,9000,1000,5,0.06557679176330566,0.12696555256843567,0.015366459265351295,0.9580000042915344,0.09210092946887016
dilbert,XGBoost,9000,1000,5,0.020633764564990997,0.04301132261753082,0.004581836052238941,0.9860000014305115,0.08779049385339022
dna,CatBoost,2867,319,3,0.062105219811201096,0.12062486261129379,0.01586831547319889,0.9686520099639893,0.0317853968590498
dna,ExtraTrees,2867,319,3,0.08128933608531952,0.15643377602100372,0.04844176396727562,0.9498432874679565,0.02993464097380638
