dataset,model,cal_size,test_size,n_classes,LightGBM_brier,LightGBM_logloss,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
collins,LightGBM,900,100,30,0.8239131248994502,2.2449815444716377,0.11567095667123795,0.3199999928474426,4.32101034745574
collins,LinearModel,900,100,30,0.8367667841632473,2.2866857042247197,0.11597046256065369,0.23999999463558197,4.296590842306614
collins,NeuralNetFastAI,900,100,30,0.839414366976384,2.3371373907403,0.1115117073059082,0.2199999988079071,4.081971749663353
collins,NeuralNetTorch,900,100,30,0.8250147120152903,2.346578521143767,0.12242168188095093,0.27000001072883606,4.070177052170038
collins,RandomForest,900,100,30,0.8480086255507285,2.3370686736043225,0.1027601957321167,0.20999999344348907,4.454339679330587
collins,XGBoost,900,100,30,0.8611394630741305,2.4513063132498023,0.04281929135322571,0.25,4.335305009037256
connect-4,CatBoost,60801,6756,3,0.17637150936411228,0.3151569560533411,0.015210102312266827,0.874925971031189,3.5758568234741688
connect-4,ExtraTrees,60801,6756,3,0.24920306706161544,0.448292349823996,0.011995243839919567,0.8229721784591675,3.5156472511589527
connect-4,LightGBM,60801,6756,3,0.1761358182846895,0.31501934305073426,0.01085120439529419,0.8744819164276123,3.566363763064146
connect-4,LinearModel,60801,6756,3,0.3329598355669569,0.5887505602678403,0.006861425936222076,0.7593250274658203,3.575710628181696
connect-4,NeuralNetFastAI,60801,6756,3,0.16713806240231352,0.2992862375621586,0.01880180835723877,0.8838070034980774,3.560923967510462
connect-4,NeuralNetTorch,60801,6756,3,0.17540039158017284,0.31416021365920554,0.02305734157562256,0.8765541911125183,3.765557188540697
connect-4,RandomForest,60801,6756,3,0.2600636394659042,0.4683901452599904,0.009194066748023033,0.817347526550293,3.664487313479185
connect-4,XGBoost,60801,6756,3,0.1765874585706352,0.3159370528571473,0.011522057466208935,0.8731498122215271,3.6700149327516556
dilbert,CatBoost,9000,1000,5,0.022578784317241626,0.043665526092252153,0.007181515451520681,0.9860000014305115,1.1386055462062359
dilbert,ExtraTrees,9000,1000,5,0.03458657918564339,0.06900286035191835,0.007971139624714851,0.9789999723434448,1.2391555644571781
dilbert,LightGBM,9000,1000,5,0.011315737479064211,0.02655649467154376,0.0036857156082987785,0.9929999709129333,0.8622028231620789
dilbert,LinearModel,9000,1000,5,0.09217207994450716,0.16856698950523952,0.023104626685380936,0.9369999766349792,0.9722416363656521
dilbert,NeuralNetFastAI,9000,1000,5,0.020035095071725104,0.0400584424438194,0.011015909723937511,0.9900000095367432,1.1099392883479595
dilbert,NeuralNetTorch,9000,1000,5,0.015981044567083283,0.0340874537828722,0.016272954642772675,0.9909999966621399,1.1263664588332176
dilbert,RandomForest,9000,1000,5,0.05491588972203609,0.1099306619172543,0.012373852543532848,0.9649999737739563,1.199669063091278
dilbert,XGBoost,9000,1000,5,0.01738256834255343,0.03489765145012646,0.006537005305290222,0.9879999756813049,1.1226375550031662
dna,CatBoost,2867,319,3,0.0647511646866281,0.12635548458638893,0.015983667224645615,0.9592476487159729,0.2778761722147465
dna,ExtraTrees,2867,319,3,0.07884700155227357,0.1606667383716781,0.036639176309108734,0.9592476487159729,0.29657192900776863
dna,LightGBM,2867,319,3,0.07446004541190288,0.1444886151030689,0.018824268132448196,0.9529780745506287,0.28410807251930237
dna,LinearModel,2867,319,3,0.12482852552693499,0.23366716250384234,0.03573879227042198,0.9278996586799622,0.28777482733130455
dna,NeuralNetFastAI,2867,319,3,0.08019077758225343,0.15722294556072586,0.032392311841249466,0.9404388666152954,0.2931536138057709
dna,NeuralNetTorch,2867,319,3,0.08524014761417695,0.16448653675431693,0.022477855905890465,0.9404388666152954,0.28046464920043945
dna,RandomForest,2867,319,3,0.09246421865248147,0.16958520446681472,0.02894677221775055,0.9404388666152954,0.2885722406208515
dna,XGBoost,2867,319,3,0.06790607629379394,0.13497121389839037,0.016186166554689407,0.9592476487159729,0.2868932895362377
eucalyptus,CatBoost,662,74,5,0.42375680746394206,0.7060758388499072,0.12558217346668243,0.7027027010917664,0.2263740971684456
eucalyptus,ExtraTrees,662,74,5,0.3987480360782295,0.6445811905525818,0.10846041142940521,0.6891891956329346,0.23610180988907814
eucalyptus,LightGBM,662,74,5,0.3880238707733462,0.6566360883192901,0.06558648496866226,0.7297297120094299,0.21996871754527092
