dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
segment,NeuralNetFastAI,2079,231,7,0.036661896445076954,0.06763334242580248,0.02204117737710476,0.9740259647369385,0.01625201106071472
segment,NeuralNetTorch,2079,231,7,0.02999313928176069,0.058815768254617214,0.030695931985974312,0.9913420081138611,0.015843067318201065
segment,RandomForest,2079,231,7,0.03359737296957833,0.35389761517079144,0.015079250559210777,0.9783549904823303,0.014860522001981735
segment,XGBoost,2079,231,7,0.04062814899444243,0.08612692606341915,0.020834634080529213,0.9696969985961914,0.016324017196893692
semeion,CatBoost,1433,160,10,0.10018642319611089,1.02219658132652,0.04975145310163498,0.9312499761581421,0.021976400166749954
semeion,ExtraTrees,1433,160,10,0.1602837705884559,1.5621186632672754,0.04858148470520973,0.893750011920929,0.02181195840239525
semeion,LightGBM,1433,160,10,0.12653054800459004,0.2681796692266275,0.04320520535111427,0.918749988079071,0.021763846278190613
semeion,LinearModel,1433,160,10,0.13487045368958875,0.27870537869216266,0.07902782410383224,0.918749988079071,0.021831661462783813
semeion,NeuralNetFastAI,1433,160,10,0.10318222475355107,1.0109590202695016,0.04022936895489693,0.925000011920929,0.021645162254571915
semeion,NeuralNetTorch,1433,160,10,0.10712399146830813,0.6129617008830982,0.05066275596618652,0.925000011920929,0.021908871829509735
semeion,RandomForest,1433,160,10,0.16387140544145998,1.1706532608293343,0.054033443331718445,0.8812500238418579,0.02208981290459633
semeion,XGBoost,1433,160,10,0.13288994118141711,0.2868301270202238,0.05106794461607933,0.9125000238418579,0.02225775644183159
soybean,CatBoost,614,69,19,0.0973146601421332,0.1458043433909815,0.0747695118188858,0.95652174949646,0.034537624567747116
soybean,ExtraTrees,614,69,19,0.08273281253520656,0.1239667615077358,0.03001600131392479,0.9420289993286133,0.03447391465306282
soybean,LightGBM,614,69,19,0.0672220221910187,0.11082607077646305,0.03425079584121704,0.95652174949646,0.03480582311749458
soybean,LinearModel,614,69,19,0.11343394680380453,1.1456205834329858,0.06746946275234222,0.9275362491607666,0.035202573984861374
soybean,NeuralNetFastAI,614,69,19,0.09866090515293297,1.1106578364112305,0.04599694162607193,0.9420289993286133,0.0354267954826355
soybean,NeuralNetTorch,614,69,19,0.11698380128349939,1.1389328341792708,0.07036532461643219,0.9275362491607666,0.034134041517972946
soybean,RandomForest,614,69,19,0.09402211697369987,1.0967294995044066,0.06645657122135162,0.9420289993286133,0.03392955660820007
soybean,XGBoost,614,69,19,0.09841400908729375,1.1227293487225993,0.07286275923252106,0.95652174949646,0.034966401755809784
splice,CatBoost,2871,319,3,0.05652453290658617,0.10837946013931361,0.018369358032941818,0.9655172228813171,0.008475646376609802
splice,ExtraTrees,2871,319,3,0.08655351602362676,0.1510061780478374,0.03749353438615799,0.9341692924499512,0.008473377674818039
splice,LightGBM,2871,319,3,0.06195892424649304,0.11862194699459423,0.015879718586802483,0.9655172228813171,0.0077359601855278015
splice,LinearModel,2871,319,3,0.09405803247402315,0.1842471780432287,0.03515554592013359,0.9373040795326233,0.00869176909327507
splice,NeuralNetFastAI,2871,319,3,0.05505114905709421,0.1102502544013624,0.018286768347024918,0.9561128616333008,0.008420880883932114
splice,NeuralNetTorch,2871,319,3,0.06551359239907434,0.1246149557354893,0.014703349210321903,0.9592476487159729,0.008515208959579468
splice,RandomForest,2871,319,3,0.08478542652323948,0.14993783138533567,0.022080224007368088,0.9404388666152954,0.008513230830430984
splice,XGBoost,2871,319,3,0.05261822775816336,0.09972152029626596,0.016842953860759735,0.9655172228813171,0.0109013132750988
steel-plates-fault,CatBoost,1746,195,7,0.23784685061443478,0.47627006274641454,0.04464786872267723,0.8205128312110901,0.017449595034122467
steel-plates-fault,ExtraTrees,1746,195,7,0.25879620579802143,0.8030398394538446,0.05830806493759155,0.8256410360336304,0.016985449939966202
steel-plates-fault,LightGBM,1746,195,7,0.24709227656572635,0.8149258432108827,0.04899178817868233,0.8205128312110901,0.016391567885875702
steel-plates-fault,LinearModel,1746,195,7,0.34760731873415707,0.9816722352288341,0.07286379486322403,0.7384615540504456,0.017118461430072784
steel-plates-fault,NeuralNetFastAI,1746,195,7,0.30917089469466685,0.9028863560398385,0.056440021842718124,0.7897436022758484,0.016589757055044174
steel-plates-fault,NeuralNetTorch,1746,195,7,0.332252404867758,0.6100967035490903,0.06946864724159241,0.7230769395828247,0.016788415610790253
steel-plates-fault,RandomForest,1746,195,7,0.2476225781978902,0.7933018430049176,0.05289524421095848,0.8358974456787109,0.01660413295030594
steel-plates-fault,XGBoost,1746,195,7,0.24130049855884678,1.1331406904559171,0.041330259293317795,0.8256410360336304,0.016584154218435287
synthetic_control,CatBoost,540,60,6,3.3589268650187035e-09,5.291497449745079e-06,5.364418029785156e-06,1.0,0.011001046746969223
synthetic_control,ExtraTrees,540,60,6,0.0030315243958666175,0.007290546756440179,0.006357792764902115,1.0,0.011267151683568954
synthetic_control,LightGBM,540,60,6,5e-60,0.0,5.960464477539063e-08,1.0,0.011448509991168976
synthetic_control,LinearModel,540,60,6,2.9893026889076902e-05,0.0008424268095258582,0.0008350014686584473,1.0,0.011282365769147873
synthetic_control,NeuralNetFastAI,540,60,6,4.684418309698959e-05,0.0006368067295332045,0.0006248354911804199,1.0,0.010979022830724716
synthetic_control,NeuralNetTorch,540,60,6,0.006941379019400474,0.012784889145229572,0.010493229143321514,1.0,0.010752338916063309
synthetic_control,RandomForest,540,60,6,0.004845584849800313,0.012960279294177353,0.011535496450960636,1.0,0.011203575879335403
synthetic_control,XGBoost,540,60,6,0.0011451399792986592,0.004059585494280195,0.0037353020161390305,1.0,0.011484939604997635
texture,CatBoost,4950,550,11,0.01104245204022019,0.0188696906898832,0.007018557284027338,0.9927272796630859,0.031035862863063812
texture,ExtraTrees,4950,550,11,0.020830016087041804,0.03851706004215706,0.00852590799331665,0.9854545593261719,0.02966715767979622
texture,LightGBM,4950,550,11,0.004753252473415596,0.009832443314760088,0.004199709743261337,0.9981818199157715,0.028783444315195084
texture,LinearModel,4950,550,11,0.007889087826274909,0.25248091530291605,0.004692826885730028,0.996363639831543,0.028598662465810776
texture,NeuralNetFastAI,4950,550,11,0.007931945156311218,0.13181187337816605,0.0045122671872377396,0.9945454597473145,0.02751929685473442
texture,NeuralNetTorch,4950,550,11,0.004276252348660846,0.12677252751121038,0.002672603353857994,0.9981818199157715,0.030624911189079285
texture,RandomForest,4950,550,11,0.029672429906227912,0.05162244294436738,0.015562993474304676,0.9836363792419434,0.030089445412158966
texture,XGBoost,4950,550,11,0.014419725443365323,0.02616694512305157,0.004503062926232815,0.9890909194946289,0.03168000280857086
vehicle,CatBoost,761,85,4,0.2736485868792563,1.2214114907454692,0.053241066634655,0.800000011920929,0.008474696427583694
vehicle,ExtraTrees,761,85,4,0.2649687063655486,2.7546167066445855,0.06466974318027496,0.8117647171020508,0.008378047496080399
vehicle,LightGBM,761,85,4,0.270041512201434,0.434372582341655,0.0921994298696518,0.8235294222831726,0.008391328155994415
vehicle,LinearModel,761,85,4,0.20810244266040512,0.326127636993303,0.06436984241008759,0.8352941274642944,0.008677031844854355
vehicle,NeuralNetFastAI,761,85,4,0.18542793530471985,1.0741250459384823,0.054311804473400116,0.8470588326454163,0.008056025952100754
vehicle,NeuralNetTorch,761,85,4,0.18933537306521092,1.0982060271801357,0.0461345911026001,0.8588235378265381,0.00812886655330658
vehicle,RandomForest,761,85,4,0.2700273796543873,1.2293985080609964,0.06810840219259262,0.7882353067398071,0.008477423340082169
vehicle,XGBoost,761,85,4,0.28718019270926437,1.2684507684442898,0.07830138504505157,0.800000011920929,0.008551914244890213
volcanoes-a2,CatBoost,1460,163,5,0.11129949331167292,0.22958295730923722,0.051961131393909454,0.907975435256958,0.011489488184452057
volcanoes-a2,ExtraTrees,1460,163,5,0.11341031594764195,0.23795114386547028,0.046350814402103424,0.907975435256958,0.01147584617137909
volcanoes-a2,LightGBM,1460,163,5,0.10471503135010425,0.22116707025254218,0.039474207907915115,0.9263803958892822,0.011438027024269104
volcanoes-a2,LinearModel,1460,163,5,0.11388129349116881,0.24255673063004524,0.038261886686086655,0.9263803958892822,0.011782374233007431
volcanoes-a2,NeuralNetFastAI,1460,163,5,0.10987616988661245,0.2303951727674684,0.03920964524149895,0.9202454090118408,0.011471930891275406
volcanoes-a2,NeuralNetTorch,1460,163,5,0.10985084127858631,0.23074869965721737,0.043982867151498795,0.9202454090118408,0.011461745947599411
volcanoes-a2,RandomForest,1460,163,5,0.11508007229658794,0.24157461596773286,0.04645175114274025,0.9141104221343994,0.010932039469480515
volcanoes-a2,XGBoost,1460,163,5,0.10963239907564182,0.24055166100890846,0.035635001957416534,0.9202454090118408,0.011680956929922104
volcanoes-a3,CatBoost,1368,153,5,0.14372606175458816,0.29740352225709404,0.051170703023672104,0.9019607901573181,0.011678975075483322
volcanoes-a3,ExtraTrees,1368,153,5,0.14181409520102753,0.2996998887414478,0.04467737674713135,0.8954248428344727,0.011508651077747345
volcanoes-a3,LightGBM,1368,153,5,0.1461289433775503,0.3022139173293557,0.06481625884771347,0.9019607901573181,0.01142994686961174
volcanoes-a3,LinearModel,1368,153,5,0.1431950272119563,0.3131785781302673,0.04510887712240219,0.8954248428344727,0.011232137680053711
volcanoes-a3,NeuralNetFastAI,1368,153,5,0.14251671086287468,0.3232475936215314,0.042305346578359604,0.9019607901573181,0.011553823947906494
volcanoes-a3,NeuralNetTorch,1368,153,5,0.13974285249385948,0.30378094030376895,0.03338128700852394,0.9019607901573181,0.011544913053512573
volcanoes-a3,RandomForest,1368,153,5,0.14493973967138057,0.31149806862779195,0.05231902375817299,0.9019607901573181,0.011198118329048157
volcanoes-a3,XGBoost,1368,153,5,0.1456243133135832,0.3023802135824029,0.060193173587322235,0.8954248428344727,0.011099226772785187
volcanoes-a4,CatBoost,1363,152,5,0.13138584235025808,0.7211666944111123,0.04566793516278267,0.9013158082962036,0.011705741286277771
volcanoes-a4,ExtraTrees,1363,152,5,0.1294003029872566,0.2891770666418706,0.03314248099923134,0.9144737124443054,0.011193554848432541
volcanoes-a4,LightGBM,1363,152,5,0.12724199846091103,0.2868481547031212,0.029561398550868034,0.9144737124443054,0.011526256799697876
volcanoes-a4,LinearModel,1363,152,5,0.1304188714483004,0.29922824969351364,0.03819022327661514,0.9013158082962036,0.011209480464458466
volcanoes-a4,NeuralNetFastAI,1363,152,5,0.12881900393971463,0.712033009911018,0.0445384718477726,0.9078947305679321,0.011414267122745514
volcanoes-a4,NeuralNetTorch,1363,152,5,0.12726211387439645,0.2847191700237384,0.047779396176338196,0.9078947305679321,0.011357087641954422
volcanoes-a4,RandomForest,1363,152,5,0.13569516275821525,0.31000209927787464,0.04446549713611603,0.9013158082962036,0.011261258274316788
volcanoes-a4,XGBoost,1363,152,5,0.13714785995801,0.3299618169745056,0.04915550723671913,0.9078947305679321,0.011269353330135345
volcanoes-b1,CatBoost,9158,1018,5,0.054023143603418755,0.13684871501642157,0.008410104550421238,0.968565821647644,0.02160167321562767
volcanoes-b1,ExtraTrees,9158,1018,5,0.05369653548195979,0.13957593224447465,0.010391447693109512,0.9695481061935425,0.02151455357670784
volcanoes-b1,LightGBM,9158,1018,5,0.05567005268496242,0.20663087561742746,0.009199749678373337,0.9666011929512024,0.021424513310194016
volcanoes-b1,LinearModel,9158,1018,5,0.0546889055489188,0.20374161168129618,0.0079357223585248,0.968565821647644,0.02155270427465439
volcanoes-b1,NeuralNetFastAI,9158,1018,5,0.05416400813326233,0.13994321819047567,0.010982994921505451,0.968565821647644,0.020780321210622787
volcanoes-b1,NeuralNetTorch,9158,1018,5,0.05445355038222513,0.14292840667152767,0.01322138775140047,0.9705304503440857,0.021755889058113098
volcanoes-b1,RandomForest,9158,1018,5,0.05442505809855073,0.14247376441671528,0.005605687387287617,0.9695481061935425,0.02143922448158264
volcanoes-b1,XGBoost,9158,1018,5,0.05490198990081309,0.14461305151740594,0.013731426559388638,0.968565821647644,0.02078356221318245
volcanoes-b2,CatBoost,9601,1067,5,0.05063914025088283,0.13405833660749564,0.007281201891601086,0.9681349396705627,0.02190469205379486
volcanoes-b2,ExtraTrees,9601,1067,5,0.050519681547699744,0.13531872449591195,0.00850549153983593,0.9681349396705627,0.02070748433470726
volcanoes-b2,LightGBM,9601,1067,5,0.05282311076583561,0.2635726326685224,0.00817866437137127,0.9671977758407593,0.02183215692639351
volcanoes-b2,LinearModel,9601,1067,5,0.05170396797717636,0.25709223356507355,0.007922637276351452,0.9700093865394592,0.0208887979388237
volcanoes-b2,NeuralNetFastAI,9601,1067,5,0.05112801070052206,0.2529750995569024,0.007032338064163923,0.969072163105011,0.020460519939661026
volcanoes-b2,NeuralNetTorch,9601,1067,5,0.05103096830296475,0.19736785508734508,0.005564838647842407,0.969072163105011,0.02045600488781929
volcanoes-b2,RandomForest,9601,1067,5,0.05072017803357289,0.13912648426731358,0.007522491738200188,0.9700093865394592,0.020182818174362183
volcanoes-b2,XGBoost,9601,1067,5,0.0503628931563934,0.13302276131472426,0.012352154590189457,0.9681349396705627,0.019888021051883698
volcanoes-b5,CatBoost,8990,999,5,0.055389002070795765,0.13613625172835772,0.009430293925106525,0.9679679870605469,0.02062704786658287
volcanoes-b5,ExtraTrees,8990,999,5,0.05668482627158542,0.1379924358166951,0.012842507101595402,0.966966986656189,0.02075418084859848
