dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
autoUniv-au7-700,LinearModel,630,70,3,0.6711046021753968,1.1057081601648593,0.12188512086868286,0.41428571939468384,0.34012957802042365
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.609407737002614,1.0168498038992217,0.09126505255699158,0.5142857432365417,0.4052572059445083
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6436576892635354,1.0613685456389832,0.10890522599220276,0.4000000059604645,0.3840081477537751
autoUniv-au7-700,RandomForest,630,70,3,0.5335633254225748,0.89094271700887,0.10991168767213821,0.5285714268684387,0.41578226117417216
autoUniv-au7-700,XGBoost,630,70,3,0.5301930254862143,0.8908875483006969,0.17314335703849792,0.5,0.3611013600602746
balance-scale,CatBoost,562,63,3,0.002293700807152105,0.01363935024672335,0.012817973271012306,1.0,0.651405465323478
balance-scale,ExtraTrees,562,63,3,0.037657557142548814,0.07772698841185409,0.05782989785075188,0.9682539701461792,0.54272231599316
balance-scale,LightGBM,562,63,3,0.03431577528515754,0.07575048180477757,0.025921333581209183,0.9841269850730896,0.5392749607563019
balance-scale,LinearModel,562,63,3,0.07437474137851417,0.15194285820322817,0.06147540733218193,0.9523809552192688,0.6075546718202531
balance-scale,NeuralNetFastAI,562,63,3,0.00785080788731436,0.023670450413491258,0.020471924915909767,1.0,0.4970775181427598
balance-scale,NeuralNetTorch,562,63,3,0.010433834816914048,0.01747762336039989,0.012087254785001278,0.9841269850730896,0.8856480261310935
balance-scale,RandomForest,562,63,3,0.03697716980025428,0.08965131478615006,0.06693950295448303,0.9682539701461792,0.48873928375542164
balance-scale,XGBoost,562,63,3,0.006318504035446673,0.016977505182750704,0.014352522790431976,1.0,1.0845004566945136
baseball,CatBoost,1206,134,3,0.074521643468441,0.14180459225329423,0.03379105031490326,0.9552238583564758,0.8705219938419759
baseball,ExtraTrees,1206,134,3,0.08086425479276194,0.1525765827611311,0.035064343363046646,0.9402984976768494,0.9060123260132968
baseball,LightGBM,1206,134,3,0.07032153618248499,0.1327266188105471,0.022076474502682686,0.9477611780166626,0.6610437617637217
baseball,LinearModel,1206,134,3,0.0639099274073742,0.12645636377246966,0.05058998614549637,0.9626865386962891,0.547407875303179
baseball,NeuralNetFastAI,1206,134,3,0.06778098472089303,0.12135533686839013,0.030994391068816185,0.9552238583564758,0.5805589561350644
baseball,NeuralNetTorch,1206,134,3,0.08551164469760991,0.1542425169909283,0.03805812448263168,0.9402984976768494,0.8697041133418679
baseball,RandomForest,1206,134,3,0.0811260533761819,0.1591806045121625,0.03191554546356201,0.9402984976768494,0.5907370219938457
