dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
Australian,ExtraTrees,621,69,0.1673868673750262,0.28875819591836255,0.05542439594864845,0.1152687594294548,0.8695651888847351,0.054484955966472626
Australian,LightGBM,621,69,0.18028279182986806,0.32054863775045067,0.06868083029985428,0.10863017290830612,0.8695651888847351,0.05238594487309456
Australian,LinearModel,621,69,0.1683704978227287,0.29585861717136175,0.058234479278326035,0.1369057595729828,0.9130434989929199,0.052887577563524246
Australian,NeuralNetFastAI,621,69,0.15188907632622223,0.2767890447762966,0.06499030441045761,0.08238332718610764,0.8985507488250732,0.05590900592505932
Australian,NeuralNetTorch,621,69,0.1672434157368946,0.2892180453754653,0.04680727422237396,0.10941391438245773,0.8840579986572266,0.0560301449149847
Australian,RandomForest,621,69,0.16435934832025922,0.2829724401221836,0.049033962190151215,0.0921144038438797,0.8550724387168884,0.05162032134830952
Australian,XGBoost,621,69,0.15117794504598,0.2666089352315978,0.042755044996738434,0.07221350818872452,0.9130434989929199,0.05302892625331879
Bioresponse,CatBoost,3375,376,0.2794761111987363,0.4370098956796873,0.02577907033264637,0.061562538146972656,0.8085106611251831,0.0867894645780325
Bioresponse,ExtraTrees,3375,376,0.28566704678840465,0.4408616246473143,0.02628844976425171,0.0686715692281723,0.8005319237709045,0.08483743853867054
Bioresponse,LightGBM,3375,376,0.2780878147248602,0.43266437551603165,0.03181986138224602,0.07282588630914688,0.8164893388748169,0.08687488920986652
Bioresponse,LinearModel,3375,376,0.367686818791449,0.5522187410792195,0.046256955713033676,0.0723712220788002,0.7367021441459656,0.08760360069572926
Bioresponse,NeuralNetFastAI,3375,376,0.2868148381264298,0.4428720653585375,0.024630442261695862,0.051091041415929794,0.7792553305625916,0.08432231843471527
Bioresponse,NeuralNetTorch,3375,376,0.293580859780503,0.4532923289299797,0.02589389681816101,0.05910204350948334,0.7792553305625916,0.0870068371295929
Bioresponse,RandomForest,3375,376,0.2824101064229934,0.43842990904625534,0.032867275178432465,0.06337424367666245,0.8164893388748169,0.0845282282680273
Bioresponse,XGBoost,3375,376,0.2759193283508083,0.4324873635562203,0.031568776816129684,0.04585668444633484,0.8164893388748169,0.08432027883827686
Click_prediction_small,CatBoost,35953,3995,0.25356044910385767,0.41233974604401263,0.009743105620145798,0.014066850766539574,0.8362953662872314,0.3824886195361614
Click_prediction_small,ExtraTrees,35953,3995,0.2601426298348313,0.4207337233641744,0.006067730486392975,0.01061481423676014,0.8340425491333008,0.37530385702848434
Click_prediction_small,LightGBM,35953,3995,0.2582454885507355,0.4190880761546622,0.007738526910543442,0.01155704353004694,0.8370463252067566,0.3869726341217756
Click_prediction_small,LinearModel,35953,3995,0.2608541432745909,0.42452372643873304,0.013129272498190403,0.02037142403423786,0.8350437879562378,0.3822267521172762
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2587407084189725,0.4205206122919611,0.006544284522533417,0.005408410914242268,0.8365457057952881,0.37767821177840233
Click_prediction_small,NeuralNetTorch,35953,3995,0.25959175228665415,0.4185478090804246,0.00522613525390625,0.006046666763722897,0.8340425491333008,0.37575099244713783
Click_prediction_small,RandomForest,35953,3995,0.2595061865775455,0.41877466330332547,0.005285181105136871,0.010919655673205853,0.8342928886413574,0.37851085141301155
Click_prediction_small,XGBoost,35953,3995,0.2582891646156035,0.4177596700397778,0.007870160043239594,0.015640825033187866,0.8357947468757629,0.38171069137752056
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.405320231735275,0.5960626120954802,0.0860651433467865,0.16956448554992676,0.7437499761581421,0.0649937056005001
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5001419225852997,0.6933184555989812,0.16159415245056152,0.013397680595517159,0.5249999761581421,0.05992116965353489
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5174193265229069,0.7106413027343963,0.09271685779094696,0.060126688331365585,0.375,0.06177224963903427
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5018798689606413,0.695027550774456,0.07488032430410385,0.011117344722151756,0.45625001192092896,0.0609578937292099
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.4932706371929779,0.6864176969440249,0.05528588593006134,0.041722364723682404,0.5562499761581421,0.06253304146230221
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5033391202095029,0.6964981421343417,0.06081025302410126,0.009000558406114578,0.46875,0.06241697445511818
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5102623899782508,0.7034483905574372,0.052758634090423584,0.07141020148992538,0.4625000059604645,0.061071403324604034
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.5035889386823881,0.6967795234893869,0.03289330005645752,0.02132279798388481,0.518750011920929,0.062119556590914726
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.41403378496596843,0.6046719578945642,0.04710765555500984,0.05840584635734558,0.699999988079071,0.06350899487733841
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.46512670173109577,0.6577495207971433,0.0422821119427681,0.10992757230997086,0.6312500238418579,0.06243288516998291
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.442546983744634,0.6339589013412843,0.06303903460502625,0.09551750868558884,0.668749988079071,0.06580573320388794
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.49987554774537274,0.6930227532390549,0.23179565370082855,0.0008355799946002662,0.5062500238418579,0.06068902835249901
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4111836510924376,0.599834830050195,0.0513668954372406,0.045138388872146606,0.699999988079071,0.06389799900352955
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.4092897630693028,0.5985377919521061,0.05077650025486946,0.09183110296726227,0.699999988079071,0.06388597749173641
