dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
kdd_el_nino-small,NeuralNetFastAI,703,79,0.10350661519860926,0.18483091278251504,0.0207209549844265,0.05916331708431244,0.949367105960846,0.6241887342184782
kdd_el_nino-small,NeuralNetTorch,703,79,0.13698416615091696,0.234631839574204,0.03722253814339638,0.05065511167049408,0.9113923907279968,0.5425149211660028
kdd_el_nino-small,RandomForest,703,79,0.11390252300514836,0.17927034228365607,0.03246082365512848,0.060080599039793015,0.9113923907279968,0.9175298297777772
kdd_el_nino-small,XGBoost,703,79,0.10789970866535023,0.1822545253094439,0.034890126436948776,0.07676030695438385,0.9367088675498962,0.6521600550040603
kdd_internet_usage,CatBoost,9097,1011,0.1501861528196463,0.2367873961389581,0.011062905192375183,0.029294531792402267,0.9000989198684692,1.616877093911171
kdd_internet_usage,ExtraTrees,9097,1011,0.16172867399894078,0.2544599617946385,0.014006431214511395,0.025937967002391815,0.888229489326477,1.5517260078340769
kdd_internet_usage,LightGBM,9097,1011,0.14944944729250118,0.2337912832007766,0.0117717944085598,0.018817756325006485,0.8961424231529236,1.7601387901231647
kdd_internet_usage,LinearModel,9097,1011,0.16838839220803206,0.27258833814799815,0.010115601122379303,0.02403777465224266,0.8753709197044373,1.5382942780852318
kdd_internet_usage,NeuralNetFastAI,9097,1011,0.1519206446458554,0.2355111268817883,0.013016668148338795,0.020201262086629868,0.8902077078819275,1.5583275891840458
kdd_internet_usage,NeuralNetTorch,9097,1011,0.15149752188551577,0.23430683546059086,0.016165602952241898,0.028997721150517464,0.8902077078819275,1.448767608962953
kdd_internet_usage,RandomForest,9097,1011,0.16070223922095483,0.2509353775312852,0.013583812862634659,0.03162922337651253,0.8862512111663818,1.5762574542313814
kdd_internet_usage,XGBoost,9097,1011,0.14979785901500967,0.23641613216059237,0.01145794615149498,0.022199435159564018,0.8981207013130188,1.559255177155137
kick,CatBoost,65684,7299,0.16118965906358448,0.2841931650463523,0.004028793424367905,0.007635120768100023,0.9035484194755554,13.315796628594398
kick,ExtraTrees,65684,7299,0.16869531510107616,0.29633138107533347,0.004742165096104145,0.011495696380734444,0.899301290512085,10.212616825476289
kick,LightGBM,65684,7299,0.16400648954062821,0.2893960962400973,0.003478914499282837,0.006529512349516153,0.9020413756370544,11.284394569694996
kick,LinearModel,65684,7299,0.17104708020833861,0.3012946246668796,0.003295931965112686,0.006107456982135773,0.8980682492256165,13.07557171676308
kick,NeuralNetFastAI,65684,7299,0.16379218179123223,0.2887825828353339,0.004660617560148239,0.009690415114164352,0.9025893807411194,13.601237835362554
kick,NeuralNetTorch,65684,7299,0.16376774112128364,0.2893513187933273,0.003809083253145218,0.008391870185732841,0.902726411819458,12.323507964611053
kick,RandomForest,65684,7299,0.16674044500551266,0.2930101711656756,0.0040581077337265015,0.007977844215929508,0.8995752930641174,12.347343443892896
kick,XGBoost,65684,7299,0.16182570460988246,0.285504886989419,0.004377063363790512,0.007841023616492748,0.9035484194755554,10.447670201770961
kin8nm,CatBoost,7372,820,0.146951091835373,0.23409695124080268,0.017522811889648438,0.039098113775253296,0.8926829099655151,1.4453596072271466
kin8nm,ExtraTrees,7372,820,0.21585172186467946,0.33863576529646383,0.023486249148845673,0.040838953107595444,0.8414633870124817,1.3506797216832638
kin8nm,LightGBM,7372,820,0.15228830300879317,0.2426174452670063,0.016703814268112183,0.03454292193055153,0.8902438879013062,1.1196605218574405
kin8nm,LinearModel,7372,820,0.3552306974831615,0.5317639191547301,0.013443544507026672,0.03243572637438774,0.7304878234863281,1.382206492125988
kin8nm,NeuralNetFastAI,7372,820,0.12774197527747794,0.20428807908195343,0.015927724540233612,0.036625687032938004,0.9048780202865601,1.1371094016358256
kin8nm,NeuralNetTorch,7372,820,0.1258260681041451,0.19927668014771013,0.01312360167503357,0.028633765876293182,0.9121951460838318,1.5302736889570951
kin8nm,RandomForest,7372,820,0.21286977028483345,0.3351218573789033,0.020732766017317772,0.034266937524080276,0.8402438759803772,1.205608144402504
kin8nm,XGBoost,7372,820,0.1775568169585702,0.2851535010675746,0.02391229197382927,0.037531957030296326,0.8804877996444702,1.4467027904465795
madeline,CatBoost,2826,314,0.19306812038070872,0.32890997887703316,0.024701712653040886,0.05510875955224037,0.8630573153495789,0.9202717952430248
madeline,ExtraTrees,2826,314,0.22228797055186048,0.3641340982549923,0.022853568196296692,0.04876071214675903,0.8407643437385559,0.7065752632915974
madeline,LightGBM,2826,314,0.21584887861514707,0.35958605280459366,0.021691346541047096,0.04520449414849281,0.8662420511245728,0.7423946773633361
madeline,LinearModel,2826,314,0.48503796515062336,0.6779580653361066,0.026086926460266113,0.05593634024262428,0.5764331221580505,0.48256213031709194
madeline,NeuralNetFastAI,2826,314,0.38883087314645576,0.573686084636251,0.05503064766526222,0.07702843844890594,0.7101910710334778,0.5721243536099792
