dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
Internet-Advertisements,RandomForest,2951,328,0.04032880440354347,0.08365658670663834,0.016058562323451042,0.029309693723917007,0.9725610017776489,0
Internet-Advertisements,XGBoost,2951,328,0.050665635615587234,0.10350111126899719,0.015211664140224457,0.020139358937740326,0.9695122241973877,0
OVA_Colon,CatBoost,1390,155,0.07524460554122925,0.17477865517139435,0.02420303411781788,0.03528386354446411,0.9612902998924255,0
OVA_Colon,ExtraTrees,1390,155,0.07100753486156464,0.14557220041751862,0.01932620070874691,0.03322529047727585,0.9612902998924255,0
OVA_Colon,LightGBM,1390,155,0.06646938621997833,0.15425696969032288,0.02366158366203308,0.029141927137970924,0.9677419066429138,0
OVA_Colon,LinearModel,1390,155,0.064611054956913,1.4641733169555664,0.01955132931470871,0.03239972144365311,0.9677419066429138,0
OVA_Colon,NeuralNetFastAI,1390,155,0.0713057592511177,0.2225119024515152,0.023293856531381607,0.038864605128765106,0.9612902998924255,0
OVA_Colon,NeuralNetTorch,1390,155,0.06529417634010315,0.2578079104423523,0.023930488154292107,0.03633834421634674,0.9677419066429138,0
OVA_Colon,RandomForest,1390,155,0.08033867925405502,0.1597391963005066,0.019305875524878502,0.03922151401638985,0.948387086391449,0
OVA_Colon,XGBoost,1390,155,0.07285658270120621,0.17024190723896027,0.021479755640029907,0.03566320985555649,0.9612902998924255,0
OVA_Endometrium,CatBoost,1390,155,0.06186987832188606,0.11281642317771912,0.0213119238615036,0.023318523541092873,0.9612902998924255,0
OVA_Endometrium,ExtraTrees,1390,155,0.059454482048749924,0.109466552734375,0.019964009523391724,0.031050091609358788,0.9612902998924255,0
OVA_Endometrium,LightGBM,1390,155,0.05798937380313873,0.10541396588087082,0.02477550506591797,0.025411449372768402,0.9612902998924255,0
OVA_Endometrium,LinearModel,1390,155,0.046485673636198044,0.11961512267589569,0.02688315510749817,0.026878859847784042,0.9677419066429138,0
OVA_Endometrium,NeuralNetFastAI,1390,155,0.044937167316675186,0.08346223831176758,0.019199684262275696,0.02322954684495926,0.9677419066429138,0
OVA_Endometrium,NeuralNetTorch,1390,155,0.04553705453872681,0.1037728562951088,0.02109396457672119,0.026972925290465355,0.9677419066429138,0
OVA_Endometrium,RandomForest,1390,155,0.0609169565141201,0.11721199005842209,0.023228803649544716,0.04696769639849663,0.9612902998924255,0
OVA_Endometrium,XGBoost,1390,155,0.055739112198352814,0.1053125187754631,0.01769261062145233,0.021186035126447678,0.9612902998924255,0
OVA_Kidney,CatBoost,1390,155,0.01391836628317833,0.0417596660554409,0.006401793099939823,0.011995706707239151,0.9935483932495117,0
OVA_Kidney,ExtraTrees,1390,155,0.024984803050756454,0.07670991122722626,0.03182796388864517,0.05043023079633713,0.9935483932495117,0
OVA_Kidney,LightGBM,1390,155,0.0133089954033494,0.039361149072647095,0.008317149244248867,0.010395625606179237,0.9935483932495117,0
OVA_Kidney,LinearModel,1390,155,0.01290346309542656,0.1236056312918663,0.0065000057220458984,0.006499876268208027,0.9935483932495117,0
OVA_Kidney,NeuralNetFastAI,1390,155,0.015621163882315159,0.0404357835650444,0.012178090400993824,0.016619838774204254,0.9935483932495117,0
OVA_Kidney,NeuralNetTorch,1390,155,0.01524261012673378,0.04507547616958618,0.012828981503844261,0.018028639256954193,0.9935483932495117,0
OVA_Kidney,RandomForest,1390,155,0.027435902506113052,0.07829999923706055,0.031128423288464546,0.05076010152697563,0.9935483932495117,0
OVA_Kidney,XGBoost,1390,155,0.01312103122472763,0.04272465407848358,0.008643005043268204,0.009400846436619759,0.9935483932495117,0
OVA_Lung,CatBoost,1390,155,0.016861170530319214,0.04980713129043579,0.0068181403912603855,0.0075430539436638355,0.9870967864990234,0
OVA_Lung,ExtraTrees,1390,155,0.04647396504878998,0.1179707944393158,0.03764498233795166,0.05968970060348511,0.9870967864990234,0
OVA_Lung,LightGBM,1390,155,0.020608089864253998,0.05670386925339699,0.007981250062584877,0.009085647761821747,0.9870967864990234,0
OVA_Lung,LinearModel,1390,155,0.026288531720638275,0.590021550655365,0.006820039823651314,0.014936745166778564,0.9870967864990234,0
OVA_Lung,NeuralNetFastAI,1390,155,0.03946808725595474,0.07467818260192871,0.010623828507959843,0.019652150571346283,0.9741935729980469,0
OVA_Lung,NeuralNetTorch,1390,155,0.022489288821816444,0.0656108632683754,0.014144749380648136,0.015966497361660004,0.9870967864990234,0
OVA_Lung,RandomForest,1390,155,0.07394437491893768,0.1531323343515396,0.04764991253614426,0.07485983520746231,0.9354838728904724,0
OVA_Lung,XGBoost,1390,155,0.01633874513208866,0.0492972694337368,0.010379062965512276,0.01135333627462387,0.9935483932495117,0
OVA_Ovary,CatBoost,1390,155,0.1196976974606514,0.1991681307554245,0.040482912212610245,0.05085596442222595,0.9225806593894958,0
OVA_Ovary,ExtraTrees,1390,155,0.1203286349773407,0.19265396893024445,0.04556063190102577,0.09087836742401123,0.896774172782898,0
