dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
fri_c0_1000_5,XGBoost,900,100,0.13653505668250346,0.2141275272028837,0.039055678993463516,0.09573739767074585,0.8799999952316284,0.0029501840472221375
fri_c0_500_5,CatBoost,450,50,0.19957897461269103,0.3091352774905568,0.06966046243906021,0.14168891310691833,0.8199999928474426,0.002688288688659668
fri_c0_500_5,ExtraTrees,450,50,0.251317632149941,0.40542419435529425,0.09545713663101196,0.11904244869947433,0.800000011920929,0.002891354262828827
fri_c0_500_5,LightGBM,450,50,0.20470663495300057,0.3185281451599964,0.07739201933145523,0.11488077789545059,0.8600000143051147,0.0027570314705371857
fri_c0_500_5,LinearModel,450,50,0.29160652299057593,0.4403476371809766,0.04804890602827072,0.12754085659980774,0.7799999713897705,0.00270969420671463
fri_c0_500_5,NeuralNetFastAI,450,50,0.19285680552715312,0.28722136071985277,0.07270859181880951,0.11017799377441406,0.8399999737739563,0.0026096180081367493
fri_c0_500_5,NeuralNetTorch,450,50,0.20441968513307998,0.3037746910068765,0.0764995664358139,0.11969723552465439,0.8600000143051147,0.0029617436230182648
fri_c0_500_5,RandomForest,450,50,0.2671381036257941,0.40253953792629305,0.08747533708810806,0.13962024450302124,0.800000011920929,0.002708129584789276
fri_c0_500_5,XGBoost,450,50,0.2254978759595418,0.35295606771992794,0.07816527783870697,0.12155456840991974,0.800000011920929,0.0025013573467731476
fri_c1_1000_50,CatBoost,900,100,0.1197160309483162,0.2075191852821545,0.014874087646603584,0.050099875777959824,0.9300000071525574,0.0029592961072921753
fri_c1_1000_50,ExtraTrees,900,100,0.11454137578583168,0.19504166640205484,0.023144088685512543,0.06457771360874176,0.9300000071525574,0.003356233239173889
fri_c1_1000_50,LightGBM,900,100,0.13932734937403762,0.21651437173082855,0.03173130005598068,0.08130253851413727,0.8799999952316284,0.0029387548565864563
fri_c1_1000_50,LinearModel,900,100,0.41053761950407774,0.5969943403840426,0.04533860832452774,0.1353013664484024,0.6800000071525574,0.0029032565653324127
fri_c1_1000_50,NeuralNetFastAI,900,100,0.14860842060970278,0.2595697193301018,0.05400905758142471,0.08663609623908997,0.8999999761581421,0.0032080523669719696
fri_c1_1000_50,NeuralNetTorch,900,100,0.22967406958753322,0.3619247986746031,0.05006655678153038,0.11767268925905228,0.8500000238418579,0.0032547228038311005
fri_c1_1000_50,RandomForest,900,100,0.15638648944316172,0.2676006528046038,0.029294636100530624,0.0865432471036911,0.8999999761581421,0.003276396542787552
fri_c1_1000_50,XGBoost,900,100,0.12308566009547023,0.20327767840566366,0.03310626745223999,0.0791264995932579,0.8999999761581421,0.0029835402965545654
fri_c2_1000_25,CatBoost,900,100,0.1245863259396078,0.21452446663180746,0.0320277065038681,0.06663839519023895,0.9200000166893005,0.003170568495988846
fri_c2_1000_25,ExtraTrees,900,100,0.14687633928884794,0.25490031843354477,0.02709067240357399,0.07557981461286545,0.8799999952316284,0.0032634511590003967
fri_c2_1000_25,LightGBM,900,100,0.1439419592747,0.2495273963312652,0.031177349388599396,0.06328162550926208,0.8899999856948853,0.0030197203159332275
fri_c2_1000_25,LinearModel,900,100,0.35616076252151374,0.5258776538846024,0.05091073736548424,0.09132197499275208,0.7200000286102295,0.004704330116510391
fri_c2_1000_25,NeuralNetFastAI,900,100,0.12529661779009882,0.21210941082247017,0.02490263804793358,0.07613325119018555,0.9200000166893005,0.003398880362510681
fri_c2_1000_25,NeuralNetTorch,900,100,0.13068636804158257,0.22243984749797793,0.019951511174440384,0.059181731194257736,0.8899999856948853,0.003438912332057953
fri_c2_1000_25,RandomForest,900,100,0.1553274824325116,0.29813356571010385,0.037497613579034805,0.06268194317817688,0.8899999856948853,0.003277726471424103
fri_c2_1000_25,XGBoost,900,100,0.14353071137777473,0.2493122796842661,0.03430302068591118,0.07013891637325287,0.8899999856948853,0.0029538609087467194
fri_c2_500_50,CatBoost,450,50,0.18936004131559184,0.2935884682093045,0.05442991107702255,0.1476607769727707,0.8399999737739563,0.002703331410884857
fri_c2_500_50,ExtraTrees,450,50,0.2182361152766588,0.32863085748079823,0.05074138194322586,0.15805375576019287,0.8399999737739563,0.002896331250667572
fri_c2_500_50,LightGBM,450,50,0.18106635129097398,0.27771527783028666,0.05413440242409706,0.1242469921708107,0.8799999952316284,0.0026748590171337128
fri_c2_500_50,LinearModel,450,50,0.3856438719450446,0.5557920766732056,0.07639382779598236,0.11485611647367477,0.699999988079071,0.004377294331789017
fri_c2_500_50,NeuralNetFastAI,450,50,0.203419128432344,0.3447792101250058,0.07315585017204285,0.1568310558795929,0.8799999952316284,0.0028109215199947357
fri_c2_500_50,NeuralNetTorch,450,50,0.2654324367364333,0.421463106796531,0.050065215677022934,0.12285437434911728,0.7799999713897705,0.002893444150686264
fri_c2_500_50,RandomForest,450,50,0.22702705423687772,0.3432844966453738,0.05244004726409912,0.11575471609830856,0.8199999928474426,0.002659391611814499
fri_c2_500_50,XGBoost,450,50,0.22912605776967698,0.34729106432046,0.05440637096762657,0.1238493025302887,0.8399999737739563,0.0028507113456726074
fri_c3_1000_10,CatBoost,900,100,0.10541572726513604,0.17887219749008756,0.02875935658812523,0.07542501389980316,0.9300000071525574,0.0029530860483646393
fri_c3_1000_10,ExtraTrees,900,100,0.09288111282733423,0.16522394192215373,0.017880694940686226,0.051458586007356644,0.949999988079071,0.003421887755393982
fri_c3_1000_10,LightGBM,900,100,0.11162195922745934,0.180939914024475,0.02215759828686714,0.04558723792433739,0.9300000071525574,0.0030433274805545807
fri_c3_1000_10,LinearModel,900,100,0.38643933928509044,0.567157445210527,0.04911462962627411,0.13447505235671997,0.7099999785423279,0.003049079328775406
fri_c3_1000_10,NeuralNetFastAI,900,100,0.08276493877869523,0.14173599626240244,0.034834735095500946,0.06143079325556755,0.949999988079071,0.0030122138559818268
fri_c3_1000_10,NeuralNetTorch,900,100,0.09271527627203416,0.17220179880998512,0.028354428708553314,0.07225391268730164,0.949999988079071,0.0032206475734710693
fri_c3_1000_10,RandomForest,900,100,0.11499733587750387,0.20980240254405644,0.023816201835870743,0.0902266651391983,0.9399999976158142,0.003103412687778473
fri_c3_1000_10,XGBoost,900,100,0.09907290766113296,0.1804363239127014,0.030366571620106697,0.07395424693822861,0.949999988079071,0.003023795783519745
fri_c3_1000_25,CatBoost,900,100,0.10976034515191924,0.1654463528885129,0.029375780373811722,0.06375452131032944,0.9100000262260437,0.002862371504306793
fri_c3_1000_25,ExtraTrees,900,100,0.10187685527859172,0.15577386682665595,0.02323042042553425,0.05682627856731415,0.9200000166893005,0.0034113414585590363
fri_c3_1000_25,LightGBM,900,100,0.07960811827689852,0.1329365153892659,0.020138878375291824,0.06562674790620804,0.9599999785423279,0.003050774335861206
fri_c3_1000_25,LinearModel,900,100,0.428301548681765,0.6095604757118975,0.039889782667160034,0.04518299922347069,0.6399999856948853,0.0029223598539829254
fri_c3_1000_25,NeuralNetFastAI,900,100,0.08041087108195835,0.13880470489153024,0.02564788982272148,0.05088181793689728,0.949999988079071,0.00304996594786644
fri_c3_1000_25,NeuralNetTorch,900,100,0.0806475616247411,0.1626210509298945,0.03131820261478424,0.07441586256027222,0.9599999785423279,0.0033019892871379852
fri_c3_1000_25,RandomForest,900,100,0.1362735351465243,0.20905344367933096,0.028554586693644524,0.06821443140506744,0.9100000262260437,0.0033308714628219604
fri_c3_1000_25,XGBoost,900,100,0.0982633898804459,0.16247156192856463,0.022253787145018578,0.07283215969800949,0.9300000071525574,0.0029254481196403503
fri_c3_500_10,CatBoost,450,50,0.21235482709592227,0.3466427083949973,0.06916403770446777,0.12318466603755951,0.8600000143051147,0.002791706472635269
fri_c3_500_10,ExtraTrees,450,50,0.24344087946246465,0.41717255551042237,0.08443871140480042,0.12390441447496414,0.8600000143051147,0.003185633569955826
fri_c3_500_10,LightGBM,450,50,0.2532265901889191,0.4058111775149966,0.07616686820983887,0.1404138058423996,0.800000011920929,0.002623327076435089
fri_c3_500_10,LinearModel,450,50,0.3997451271502435,0.5857808411283573,0.08135614544153214,0.169698566198349,0.7400000095367432,0.0026584789156913757
fri_c3_500_10,NeuralNetFastAI,450,50,0.22287059498303957,0.37588302773840765,0.0632251650094986,0.15719035267829895,0.8399999737739563,0.0028167031705379486
fri_c3_500_10,NeuralNetTorch,450,50,0.17795032431207816,0.29005444636446454,0.03938356786966324,0.11267131567001343,0.8799999952316284,0.0024874024093151093
fri_c3_500_10,RandomForest,450,50,0.22589016881897947,0.38392115143129296,0.07353466004133224,0.1203031986951828,0.8399999737739563,0.0029559507966041565
fri_c3_500_10,XGBoost,450,50,0.21166866075541318,0.35006819530626887,0.06827982515096664,0.13391879200935364,0.8600000143051147,0.0027705468237400055
fri_c3_500_50,CatBoost,450,50,0.22159284482130281,0.3450090521557155,0.0742713212966919,0.1686641275882721,0.800000011920929,0.002633236348628998
fri_c3_500_50,ExtraTrees,450,50,0.1970932770171072,0.31159820785835585,0.07501257210969925,0.1421753168106079,0.8600000143051147,0.0030129849910736084
fri_c3_500_50,LightGBM,450,50,0.18533887440891128,0.3080554800292432,0.04779720678925514,0.11958713084459305,0.8799999952316284,0.0030536167323589325
fri_c3_500_50,LinearModel,450,50,0.42452452354371334,0.604512673043622,0.10050898790359497,0.15324129164218903,0.6000000238418579,0.0026058852672576904
