dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
electricity,NeuralNetFastAI,40780,4532,0.21955138607938687,0.3452933704848149,0.00966295599937439,0.0171480905264616,0.843777596950531,7.866565641947091
electricity,NeuralNetTorch,40780,4532,0.18440093289982096,0.29729519878581007,0.01637629047036171,0.024821612983942032,0.8720211982727051,6.8198746563866735
electricity,RandomForest,40780,4532,0.10547595667517107,0.18156138571405026,0.0045749167911708355,0.011798656545579433,0.9300529360771179,8.062561162747443
electricity,XGBoost,40780,4532,0.0795348713983651,0.13973574505989414,0.0060552372597157955,0.010970274917781353,0.9485878348350525,6.952121218666434
fri_c0_1000_5,CatBoost,900,100,0.12493125153089743,0.1897488441765448,0.05536229908466339,0.08364882320165634,0.9100000262260437,0.23416459001600742
fri_c0_1000_5,ExtraTrees,900,100,0.14672934503178317,0.2209761935566493,0.05584491789340973,0.0925387442111969,0.8799999952316284,0.2795802550390363
fri_c0_1000_5,LightGBM,900,100,0.11611383870731755,0.1790918116962969,0.03923419490456581,0.05173575133085251,0.8899999856948853,0.37062954530119896
fri_c0_1000_5,LinearModel,900,100,0.20805524683145157,0.3464075215818103,0.06782668828964233,0.12581196427345276,0.8500000238418579,0.21043387986719608
fri_c0_1000_5,NeuralNetFastAI,900,100,0.10041807301684379,0.15937383169045452,0.04587088152766228,0.07192359864711761,0.9300000071525574,0.3538531642407179
fri_c0_1000_5,NeuralNetTorch,900,100,0.10058884905607555,0.15492567296324433,0.030458835884928703,0.061675697565078735,0.9100000262260437,0.1981105823069811
fri_c0_1000_5,RandomForest,900,100,0.1322830217990076,0.22038525236722598,0.054846204817295074,0.07239542156457901,0.9300000071525574,0.2585105113685131
fri_c0_1000_5,XGBoost,900,100,0.13517419333249472,0.21053844982453337,0.040169332176446915,0.1102137491106987,0.8799999952316284,0.26937735732644796
fri_c0_500_5,CatBoost,450,50,0.19839099218019554,0.3231705184473423,0.07071885466575623,0.1309233158826828,0.800000011920929,0.1784905968233943
fri_c0_500_5,ExtraTrees,450,50,0.24666950664451467,0.39472915913776135,0.09098159521818161,0.14779968559741974,0.800000011920929,0.13480377849191427
fri_c0_500_5,LightGBM,450,50,0.20243791554863058,0.3094755866660554,0.07646115124225616,0.13166305422782898,0.8799999952316284,0.20858943089842796
fri_c0_500_5,LinearModel,450,50,0.2903773574855963,0.43604567798545607,0.04650014638900757,0.11853469908237457,0.7799999713897705,0.2764607444405556
fri_c0_500_5,NeuralNetFastAI,450,50,0.1997120648922877,0.3047603764251046,0.07648532837629318,0.12622036039829254,0.8399999737739563,0.2260826900601387
fri_c0_500_5,NeuralNetTorch,450,50,0.2030837769546631,0.30528290434081107,0.07755839079618454,0.11612795293331146,0.8600000143051147,0.13512269780039787
fri_c0_500_5,RandomForest,450,50,0.2571370532367605,0.3914150938890258,0.0827176570892334,0.13788959383964539,0.800000011920929,0.16087603941559792
fri_c0_500_5,XGBoost,450,50,0.22223565517621593,0.3718365988300768,0.0745968371629715,0.11288440227508545,0.800000011920929,0.16654188930988312
fri_c1_1000_50,CatBoost,900,100,0.11911279408971943,0.19942860882547062,0.021260112524032593,0.059774141758680344,0.9300000071525574,0.2483310243114829
fri_c1_1000_50,ExtraTrees,900,100,0.11547712739385657,0.19796713184917247,0.025173116475343704,0.06719961017370224,0.9200000166893005,0.19247132260352373
fri_c1_1000_50,LightGBM,900,100,0.1357368707407329,0.21049399838290683,0.030497442930936813,0.08747069537639618,0.8700000047683716,0.27099094446748495
fri_c1_1000_50,LinearModel,900,100,0.41165505136457325,0.5980638701399771,0.04613153636455536,0.12756496667861938,0.6700000166893005,0.17036881763488054
fri_c1_1000_50,NeuralNetFastAI,900,100,0.1469573261096346,0.2526441201744676,0.05197951942682266,0.1159733459353447,0.8999999761581421,0.245609269477427
fri_c1_1000_50,NeuralNetTorch,900,100,0.22926267018618582,0.3611689249054443,0.05006054788827896,0.09682977944612503,0.8399999737739563,0.24866007175296545
fri_c1_1000_50,RandomForest,900,100,0.15808407242245165,0.2671128628485104,0.031249405816197395,0.10438929498195648,0.8899999856948853,0.1643992131575942
fri_c1_1000_50,XGBoost,900,100,0.12227331694969697,0.200510883961325,0.032162293791770935,0.08650962263345718,0.8999999761581421,0.26208978053182364
fri_c2_1000_25,CatBoost,900,100,0.1236412148561806,0.20841877512950321,0.03133806586265564,0.057582393288612366,0.9200000166893005,0.24334885645657778
fri_c2_1000_25,ExtraTrees,900,100,0.14343173399762343,0.2718245866924919,0.023003511130809784,0.08420276641845703,0.8799999952316284,0.1770543372258544
fri_c2_1000_25,LightGBM,900,100,0.14405893800835823,0.2423810312222091,0.03181735426187515,0.059470321983098984,0.8899999856948853,0.29130830336362123
fri_c2_1000_25,LinearModel,900,100,0.3604555985768894,0.5303522838323138,0.05631670355796814,0.07951167225837708,0.7300000190734863,0.15906853415071964
fri_c2_1000_25,NeuralNetFastAI,900,100,0.12521874857876436,0.20968367854485276,0.025784632191061974,0.06452661007642746,0.9200000166893005,0.21221586503088474
fri_c2_1000_25,NeuralNetTorch,900,100,0.13113394612133372,0.22382818272695654,0.01883227750658989,0.05562281981110573,0.9100000262260437,0.2550330990925431
fri_c2_1000_25,RandomForest,900,100,0.15558764660982974,0.3079788044154646,0.03699525445699692,0.07522144168615341,0.8999999761581421,0.31059278920292854
