dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
tokyo1,NeuralNetFastAI,863,96,0.08840899914503098,0.13296890258789062,0.01675662025809288,0.04983216151595116,0.9270833134651184,0.004913897253572941
tokyo1,NeuralNetTorch,863,96,0.06966385990381241,0.11864205449819565,0.017302170395851135,0.03684993460774422,0.9583333134651184,0.00553514901548624
tokyo1,RandomForest,863,96,0.08327961713075638,0.1267600804567337,0.02777898497879505,0.050532326102256775,0.9166666865348816,0.005126365460455418
tokyo1,XGBoost,863,96,0.10890689492225647,0.17609328031539917,0.03146336227655411,0.05292261391878128,0.9166666865348816,0.0038061095401644707
twonorm,CatBoost,6660,740,0.03254005312919617,0.057468660175800323,0.007351383566856384,0.014350407756865025,0.9770269989967346,0.340260392986238
twonorm,ExtraTrees,6660,740,0.033348094671964645,0.06003527343273163,0.011277598328888416,0.014825443737208843,0.9797297120094299,0.22595236916095018
twonorm,LightGBM,6660,740,0.03414108604192734,0.0618576817214489,0.009077624417841434,0.015355905517935753,0.9797297120094299,0.3390732752159238
twonorm,LinearModel,6660,740,0.02945271134376526,0.057784486562013626,0.008007045835256577,0.015065500512719154,0.9810810685157776,0.3288193913176656
twonorm,NeuralNetFastAI,6660,740,0.03152093291282654,0.06035251170396805,0.010047614574432373,0.012865613214671612,0.9783783555030823,0.3420034795999527
twonorm,NeuralNetTorch,6660,740,0.02986888401210308,0.05641879513859749,0.00874197855591774,0.014833014458417892,0.9797297120094299,0.34332648385316133
twonorm,RandomForest,6660,740,0.031713664531707764,0.06035236641764641,0.00880978163331747,0.016913602128624916,0.9783783555030823,0.23888471629470587
twonorm,XGBoost,6660,740,0.0360114760696888,0.0643267035484314,0.00885780155658722,0.011260628700256348,0.9770269989967346,0.3420001696795225
visualizing_soil,CatBoost,7776,865,1.2287824484809389e-31,0.0,1.1918715578920405e-17,7.777107668971439e-08,1.0,0.44644023291766644
visualizing_soil,ExtraTrees,7776,865,1.3217023479228374e-05,9.089305240195245e-05,8.744001388549805e-05,8.748414256842807e-05,1.0,0.43517959769815207
visualizing_soil,LightGBM,7776,865,3.8894514774909686e-24,0.0,6.705576306893779e-14,7.777107668971439e-08,1.0,0.3904369957745075
visualizing_soil,LinearModel,7776,865,0.00012393001816235483,0.0003044356417376548,0.0002676844596862793,0.00026772639830596745,1.0,0.4119534017518163
visualizing_soil,NeuralNetFastAI,7776,865,4.343834370956756e-05,0.0002777171030174941,0.00019622707623057067,0.0002659379388205707,1.0,0.43875296134501696
visualizing_soil,NeuralNetTorch,7776,865,2.4206487508893204e-12,7.78644206889112e-08,7.608650776091963e-08,9.394613442736954e-08,1.0,0.4180170278996229
visualizing_soil,RandomForest,7776,865,1.0656538450065298e-15,1.3781420449276993e-10,1.1671185129458195e-09,7.777107668971439e-08,1.0,0.41206951439380646
