dataset,model,cal_size,test_size,CB-monotone_brier,CB-monotone_logloss,CB-monotone_kuiper,CB-monotone_ece-15,CB-monotone_accuracy,CB-monotone_time
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5023785663395219,0.6955357236288199,0.04986350238323212,0.008430681191384792,0.46875,0.1888539455831051
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5098611645079026,0.7030461458012927,0.05242663621902466,0.07127705216407776,0.4625000059604645,0.18734684772789478
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.502754851839019,0.6959359336526758,0.040156811475753784,0.02046341449022293,0.512499988079071,0.1899125836789608
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.41342412436029036,0.6041190057987128,0.04680338501930237,0.06953901797533035,0.699999988079071,0.19298564456403255
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.46673559643309376,0.6594062537631322,0.047208115458488464,0.11649472266435623,0.6312500238418579,0.1929787825793028
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.443994086732072,0.6357677767870413,0.055336128920316696,0.08465999364852905,0.668749988079071,0.19262469373643398
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.49979039369327427,0.692937555274915,0.23167531192302704,0.0008333400473929942,0.5062500238418579,0.18472319468855858
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4114822931084019,0.6003336253734448,0.05082537978887558,0.061868105083703995,0.699999988079071,0.19222882017493248
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.4090260942815866,0.5986001237702137,0.053756725043058395,0.09604126960039139,0.699999988079071,0.1932112593203783
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.4777834753836682,0.6705063517871542,0.03894609957933426,0.06553158164024353,0.606249988079071,0.19322115369141102
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.44104041223164403,0.6317329229825603,0.04405653476715088,0.06141834333539009,0.65625,0.19334839470684528
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.29502698138296407,0.44800697224749364,0.039076726883649826,0.09446581453084946,0.793749988079071,0.19300535134971142
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.3919883903037852,0.5773108633567287,0.03668590262532234,0.07682984322309494,0.706250011920929,0.1942851822823286
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.3137682182105318,0.4741044973864808,0.050329409539699554,0.11511410772800446,0.768750011920929,0.1949892807751894
