dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.4927202892570313,0.6858593461656463,0.05971750617027283,0.008916530758142471,0.5874999761581421,0.011599914054386318
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5029763049433245,0.696125488940123,0.053105369210243225,0.001150655560195446,0.46875,0.011514354031533003
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5072633868366114,0.7004338690603455,0.04711261764168739,0.03818071261048317,0.4437499940395355,0.026961309951730072
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.5024267755359535,0.695592865630408,0.03533416986465454,0.04378940910100937,0.4937500059604645,0.011243588058277965
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.4154370505810959,0.6063045347398536,0.04771410673856735,0.08341579884290695,0.699999988079071,0.009981380891986191
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.4676594011101917,0.6601454534938027,0.04498901963233948,0.05518769845366478,0.6000000238418579,0.011878436896950006
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.4380088752044843,0.6292117414269646,0.058742403984069824,0.1175854429602623,0.668749988079071,0.006403728970326483
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.5,0.6931471805599454,0.25,0.0,0.5,0.014657423016615212
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.41030820437410026,0.5995037644861527,0.04939982667565346,0.0860375240445137,0.699999988079071,0.007106135017238557
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.41375306954049806,0.6072703034805254,0.05279158428311348,0.08324640244245529,0.699999988079071,0.0108095119940117
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.47642575481771,0.6694524943899527,0.04005266726016998,0.061507850885391235,0.612500011920929,0.012204112950712442
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.4434572131387961,0.6352852993551308,0.04031820595264435,0.054190926253795624,0.6625000238418579,0.01763293205294758
