dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
boston_corrected,NeuralNetFastAI,455,51,0.1476118802719842,0.24054905234063914,0.10878665000200272,0.13212800025939941,0.8627451062202454,0.005565572530031204
boston_corrected,NeuralNetTorch,455,51,0.2138010080914218,0.30945458246387164,0.1391291320323944,0.1309991329908371,0.8039215803146362,0.0056696198880672455
boston_corrected,RandomForest,455,51,0.17952848561451454,0.2811275898413888,0.0866665467619896,0.08846969902515411,0.8627451062202454,0.0059078149497509
boston_corrected,XGBoost,455,51,0.19114107577326198,0.290812116031682,0.07805640995502472,0.08379265666007996,0.8627451062202454,0.00575435534119606
churn,CatBoost,4500,500,0.08508408673859057,0.17340969453316057,0.016111379489302635,0.020988287404179573,0.949999988079071,0.008890025317668915
churn,ExtraTrees,4500,500,0.08374188719280076,0.17069989485459447,0.019546467810869217,0.022631477564573288,0.9480000138282776,0.00899609923362732
churn,LightGBM,4500,500,0.08889327613763194,0.1822917412356754,0.019266758114099503,0.024765480309724808,0.9459999799728394,0.008997384458780289
churn,LinearModel,4500,500,0.18541919652522368,0.3026905943612273,0.01920643076300621,0.030706804245710373,0.8479999899864197,0.009713344275951385
churn,NeuralNetFastAI,4500,500,0.07745196255065645,0.16256450024236876,0.010952424257993698,0.016681132838129997,0.9559999704360962,0.009827673435211182
churn,NeuralNetTorch,4500,500,0.08505979167882993,0.17639911942639167,0.018222641199827194,0.02621077187359333,0.9520000219345093,0.009232323616743088
churn,RandomForest,4500,500,0.10006876762162287,0.35861877348657945,0.021426314488053322,0.021624641492962837,0.9399999976158142,0.008915930986404419
churn,XGBoost,4500,500,0.08764826185532514,0.1754653148005596,0.017435945570468903,0.019396450370550156,0.9440000057220459,0.009021144360303879
climate-model-simulation-crashes,CatBoost,486,54,0.10274048506419506,1.7154195210975427,0.05146760866045952,0.06734053790569305,0.9444444179534912,0.005758993327617645
climate-model-simulation-crashes,ExtraTrees,486,54,0.09257604815526461,1.7021849431149376,0.046596020460128784,0.06128332391381264,0.9444444179534912,0.005709253251552582
climate-model-simulation-crashes,LightGBM,486,54,0.08402793480966098,1.6832558600422076,0.04389020800590515,0.05243712291121483,0.9259259104728699,0.005623292177915573
climate-model-simulation-crashes,LinearModel,486,54,0.10798501202081166,3.3013956249901772,0.05949237942695618,0.06268515437841415,0.9444444179534912,0.005768612027168274
climate-model-simulation-crashes,NeuralNetFastAI,486,54,0.08866706039122586,3.2632002434876335,0.04227939248085022,0.06079781427979469,0.9629629850387573,0.005707133561372757
climate-model-simulation-crashes,NeuralNetTorch,486,54,0.09604365214932116,1.7096478358937193,0.041544754058122635,0.05289965495467186,0.9074074029922485,0.0057534873485565186
climate-model-simulation-crashes,RandomForest,486,54,0.10842151088445146,3.302819640583229,0.07177099585533142,0.0775180459022522,0.9259259104728699,0.005780510604381561
climate-model-simulation-crashes,XGBoost,486,54,0.09375752087420486,1.711046167217233,0.05772227793931961,0.06636416912078857,0.9444444179534912,0.0057153403759002686
colleges_usnews,CatBoost,1171,131,0.3766210209475274,0.5430161297193916,0.06154591590166092,0.0947171300649643,0.7099236845970154,0.006436597555875778
colleges_usnews,ExtraTrees,1171,131,0.3675246997890988,0.5355976071639218,0.06233624741435051,0.11156764626502991,0.694656491279602,0.006098836660385132
colleges_usnews,LightGBM,1171,131,0.3893671233911474,0.5629578385225271,0.06829511374235153,0.11660782247781754,0.6641221642494202,0.006160002201795578
colleges_usnews,LinearModel,1171,131,0.4066941944848677,0.5998469845472156,0.06020291894674301,0.12119083851575851,0.6641221642494202,0.006205160170793533
