dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
fri_c3_500_50,NeuralNetTorch,450,50,0.4335293471813202,0.6247332692146301,0.12351550161838531,0.15056252479553223,0.6800000071525574,0.0038167479215189815
fri_c3_500_50,RandomForest,450,50,0.19170644879341125,0.30648288130760193,0.036427367478609085,0.09579385071992874,0.8600000143051147,0.0039475420489907265
fri_c3_500_50,XGBoost,450,50,0.1714695543050766,0.29834192991256714,0.03912188112735748,0.12791499495506287,0.8799999952316284,0.003919011913239956
fri_c4_500_100,CatBoost,450,50,0.1669546365737915,0.25057271122932434,0.059127744287252426,0.1304549276828766,0.8999999761581421,0.003823250997811556
fri_c4_500_100,ExtraTrees,450,50,0.15539748966693878,0.2374597042798996,0.06635784357786179,0.09633584320545197,0.8399999737739563,0.0037933929124847054
fri_c4_500_100,LightGBM,450,50,0.15438327193260193,0.24626263976097107,0.052496060729026794,0.13724638521671295,0.8999999761581421,0.003994669998064637
fri_c4_500_100,LinearModel,450,50,0.4609858989715576,0.6529199481010437,0.07792551070451736,0.15115240216255188,0.6000000238418579,0.003802314051426947
fri_c4_500_100,NeuralNetFastAI,450,50,0.4517652094364166,0.6435467004776001,0.07981617748737335,0.15505048632621765,0.5799999833106995,0.003996302955783904
fri_c4_500_100,NeuralNetTorch,450,50,0.44841933250427246,0.6401661038398743,0.10334551334381104,0.11397676169872284,0.7200000286102295,0.003832521033473313
fri_c4_500_100,RandomForest,450,50,0.172515407204628,0.2638331651687622,0.0483427569270134,0.10866935551166534,0.8799999952316284,0.0036777780624106526
fri_c4_500_100,XGBoost,450,50,0.1514754444360733,0.2341795563697815,0.05703066289424896,0.056789178401231766,0.8799999952316284,0.003625190001912415
fried,CatBoost,36691,4077,0.0925815999507904,0.14593741297721863,0.007679583039134741,0.011073650792241096,0.9308314919471741,0.10124357405584306
fried,ExtraTrees,36691,4077,0.11410869657993317,0.17889653146266937,0.00887573417276144,0.01552191749215126,0.9200392365455627,0.10199013294186443
fried,LightGBM,36691,4077,0.0934944823384285,0.147724911570549,0.007504192180931568,0.012039643712341785,0.9293597936630249,0.10415244300384074
fried,LinearModel,36691,4077,0.2329278588294983,0.3783631920814514,0.010324427857995033,0.025411278009414673,0.8400784730911255,0.09944407502189279
fried,NeuralNetFastAI,36691,4077,0.09122615307569504,0.14432819187641144,0.008587032556533813,0.010870673693716526,0.9347559213638306,0.10146627796348184
fried,NeuralNetTorch,36691,4077,0.0908508375287056,0.14406339824199677,0.007304750382900238,0.011094344779849052,0.9354918003082275,0.1023401040583849
fried,RandomForest,36691,4077,0.1155969500541687,0.182268887758255,0.009116514585912228,0.016189418733119965,0.9151336550712585,0.10277084808330983
fried,XGBoost,36691,4077,0.09462276101112366,0.15056003630161285,0.007372703403234482,0.011796737089753151,0.9335295557975769,0.10305356909520924
gina,CatBoost,2837,316,0.060294587165117264,0.10353360325098038,0.009295801632106304,0.026553761214017868,0.9620253443717957,0.010159873054362833
gina,ExtraTrees,2837,316,0.09409887343645096,0.1612883359193802,0.013349343091249466,0.036143019795417786,0.9430379867553711,0.010089424904435873
gina,LightGBM,2837,316,0.06334052234888077,0.11103545874357224,0.009686911478638649,0.027822239324450493,0.9588607549667358,0.009778543026186526
