dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
E-CommereShippingData,TabDPT_GPU,7332,3667,0.3654355898670232,0.5164144137408487,0.0298415906727314,0.02995697781443596,0.6809381246566772,0.011243332177400589
Fitness_Club,TabDPT_GPU,1000,500,0.3160476042821515,0.4832224961873962,0.023246444761753082,0.031545184552669525,0.777999997138977,0.0038592172786593437
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.10259181605448307,0.1826813481561981,0.020129695534706116,0.0030857492238283157,0.9331600069999695,0.12980421539396048
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.2708299217833088,0.4261431264329297,0.028347693383693695,0.021787086501717567,0.7968994379043579,0.019143404439091682
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.18948229351749526,0.32201198371883977,0.020639553666114807,0.019117159768939018,0.8852173686027527,0.004273438826203346
Marketing_Campaign,TabDPT_GPU,1493,747,0.14933098781462406,0.2385464397347948,0.029174156486988068,0.018527721986174583,0.8969210386276245,0.0037365229800343513
NATICUSdroid,TabDPT_GPU,4994,2497,0.09134490292988877,0.15454248920849226,0.02523992210626602,0.015355076640844345,0.9379255175590515,0.00943808164447546
bank-marketing,TabDPT_GPU,30140,15071,0.17684285541317912,0.3051474115320566,0.019034337252378464,0.005492990370839834,0.8830203413963318,0.03958899714052677
blood-transfusion-service-center,TabDPT_GPU,498,250,0.30513405989966996,0.48406945472152213,0.039505861699581146,0.07505832612514496,0.7879999876022339,0.0025579575449228287
churn,TabDPT_GPU,3333,1667,0.08120660460398965,0.15975959151210073,0.016566362231969833,0.006052794400602579,0.9514096975326538,0.005959325470030308
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.10788145379423557,0.20839751373640822,0.01289224624633789,0.005709275137633085,0.9404398202896118,0.011827819049358368
credit-g,TabDPT_GPU,666,334,0.3478243288721153,0.5207725858852124,0.03509301319718361,0.051664844155311584,0.7305389046669006,0.0026381434872746468
credit_card_clients_default,TabDPT_GPU,20000,10000,0.26609594646885487,0.4241166722644694,0.015867017209529877,0.010113412514328957,0.8215000033378601,0.02623932622373104
