dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15640585630245313,0.2874884696487803,0.049238912761211395,0.0062758601270616055,0.9119966626167297,0.0020842086523771286
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.3543608797731565,0.5002577079360127,0.12621790170669556,0.004565639887005091,0.6885737776756287,0.0006088484078645706
Fitness_Club,BetaTabPFN_GPU,1000,500,0.31674262047629836,0.48534789933213224,0.03354595601558685,0.033057793974876404,0.7760000228881836,0.00027316808700561523
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.0986711952926863,0.18624239629369263,0.021538076922297478,0.002714460948482156,0.9379799962043762,0.00420120544731617
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.27177272191183394,0.42771219154023593,0.013802986592054367,0.013139808550477028,0.8041027188301086,0.0009754560887813568
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.1936458129648693,0.3346098746177456,0.04351021349430084,0.02211947552859783,0.8852173686027527,0.0002851933240890503
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13642675404834737,0.23126397141838084,0.019753657281398773,0.032075878232717514,0.9009370803833008,0.00030723586678504944
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.0858883020597799,0.15532834861860792,0.009820064529776573,0.006169886793941259,0.9423307776451111,0.00047900527715682983
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17370506488577053,0.304692591006111,0.038476213812828064,0.00729158241301775,0.8932386636734009,0.0016248635947704315
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.31806579983639444,0.5340533585318801,0.0588429719209671,0.10396259278059006,0.8159999847412109,0.00025808438658714294
churn,BetaTabPFN_GPU,3333,1667,0.059458799312611284,0.12331462769055092,0.014990605413913727,0.01307898573577404,0.9634073376655579,0.000387607142329216
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.1070521538461537,0.21052560359861944,0.03288733959197998,0.003845976432785392,0.9404398202896118,0.0005405955016613007
credit-g,BetaTabPFN_GPU,666,334,0.35396512621136705,0.54339388980391,0.04976629465818405,0.07269851118326187,0.727544903755188,0.00026063062250614166
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.26489858379924247,0.42307528696552654,0.03740641474723816,0.005931897088885307,0.8223000168800354,0.0013165734708309174
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07130285864797681,0.12173193126168745,0.004321256186813116,0.00317617179825902,0.9498544931411743,0.0038580894470214844
diabetes,BetaTabPFN_GPU,512,256,0.3181132157310399,0.481665644092792,0.049939002841711044,0.052509911358356476,0.7734375,0.0002809092402458191
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.12596626020309173,0.22401358330474688,0.016237791627645493,0.022666260600090027,0.9175000190734863,0.00032764673233032227
heloc,BetaTabPFN_GPU,6972,3487,0.36690970718548627,0.5477465238013546,0.021625259891152382,0.022038767114281654,0.728419840335846,0.0006909295916557312
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.32170669735388246,0.4915829817829997,0.02748912200331688,0.01948648877441883,0.7675023674964905,0.0007195509970188141
jm1,BetaTabPFN_GPU,7256,3629,0.2698714553361404,0.4285607949755853,0.0480654314160347,0.010277209803462029,0.8142738938331604,0.0006279237568378448
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.03480734298961166,0.08856277276073568,0.016876643523573875,0.0005107602337375283,0.9821803569793701,0.0015358906239271164
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14312180709224745,0.24327991602049173,0.018428701907396317,0.007699082605540752,0.9007299542427063,0.0006508585065603256
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.046615441651886406,0.1002418042632833,0.013273220509290695,0.010953245684504509,0.9751269221305847,0.000418027862906456
qsar-biodeg,BetaTabPFN_GPU,702,352,0.20263707192993746,0.33694635383114124,0.039745938032865524,0.05181460827589035,0.8636363744735718,0.0003684014081954956
seismic-bumps,BetaTabPFN_GPU,1722,862,0.1111140714769949,0.21136797932499968,0.029081182554364204,0.005127240438014269,0.9338747262954712,0.00031556934118270874
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04501447699017761,0.08969920145103906,0.0077593158930540085,0.0085289953276515,0.9731632471084595,0.0004840083420276642
