dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.052634913474321365,0.08408746123313904,0.0009658951312303543,0.0021301982924342155,0.9630433917045593,0
diabetes,TabPFN-v2.6,512,256,0.31053298711776733,0.4680125415325165,0.03014528378844261,0.09279360622167587,0.76171875,0
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06603178381919861,0.12150436639785767,0.014384510926902294,0.021510345861315727,0.9612500071525574,0
heloc,TabPFN-v2.6,6972,3487,0.36417096853256226,0.5450620651245117,0.016353122889995575,0.02895297296345234,0.7324347496032715,0
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.29875174164772034,0.46166783571243286,0.014973514713346958,0.02552182972431183,0.7894985675811768,0
jm1,TabPFN-v2.6,7256,3629,0.25797510147094727,0.4147850275039673,0.017785558477044106,0.02182246558368206,0.8219895362854004,0
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.033434364944696426,0.07632648199796677,0.0050560482777655125,0.004949759226292372,0.9821803569793701,0
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13946208357810974,0.2240394651889801,0.010590004734694958,0.017013289034366608,0.9031630158424377,0
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.02542225271463394,0.052768100053071976,0.0047098444774746895,0.006370927207171917,0.9842639565467834,0
qsar-biodeg,TabPFN-v2.6,702,352,0.18516325950622559,0.32727786898612976,0.031047815456986427,0.05219023674726486,0.8721590638160706,0
seismic-bumps,TabPFN-v2.6,1722,862,0.11055932939052582,0.20415084064006805,0.011875486001372337,0.010897202417254448,0.9338747262954712,0
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04308929294347763,0.07733814418315887,0.0025246636942029,0.006619025953114033,0.9714034199714661,0
APSFailure,TabICLv2,50666,25334,0.007905946113169193,0.014366832561790943,0.0006440137512981892,0.0009721828391775489,0.9947106838226318,0
Amazon_employee_access,TabICLv2,21846,10923,0.08120501786470413,0.1574568748474121,0.008867244236171246,0.011879537254571915,0.9488235712051392,0
Bank_Customer_Churn,TabICLv2,6666,3334,0.19732581079006195,0.3225790858268738,0.01848495565354824,0.021691560745239258,0.8677264451980591,0
Bioresponse,TabICLv2,2500,1251,0.2917354702949524,0.45121443271636963,0.03554798662662506,0.045972809195518494,0.7977617979049683,0
Diabetes130US,TabICLv2,47678,23840,0.15469616651535034,0.28257837891578674,0.01615051180124283,0.015839356929063797,0.9119966626167297,0
E-CommereShippingData,TabICLv2,7332,3667,0.3543088436126709,0.4951377213001251,0.009880091063678265,0.008978436700999737,0.6874829530715942,0
Fitness_Club,TabICLv2,1000,500,0.31533974409103394,0.47886645793914795,0.03149866685271263,0.0517347976565361,0.7760000228881836,0
GiveMeSomeCredit,TabICLv2,100000,50000,0.09765138477087021,0.17651215195655823,0.008867897093296051,0.008844980970025063,0.9374799728393555,0
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2678179144859314,0.4225315749645233,0.013417237438261509,0.02139558643102646,0.8058252334594727,0
Is-this-a-good-customer,TabICLv2,1148,575,0.18865595757961273,0.3211681544780731,0.0213967002928257,0.03670835122466087,0.8799999952316284,0
Marketing_Campaign,TabICLv2,1493,747,0.13513439893722534,0.21325363218784332,0.016573626548051834,0.03076990880072117,0.8955823183059692,0
NATICUSdroid,TabICLv2,4994,2497,0.08034224063158035,0.13657721877098083,0.005890026688575745,0.011298082768917084,0.9459351301193237,0
bank-marketing,TabICLv2,30140,15071,0.17149947583675385,0.29924172163009644,0.014957811683416367,0.01686079241335392,0.8940349221229553,0
blood-transfusion-service-center,TabICLv2,498,250,0.29871684312820435,0.48071327805519104,0.034368060529232025,0.06583946943283081,0.7919999957084656,0
churn,TabICLv2,3333,1667,0.049988340586423874,0.11013642698526382,0.007539331912994385,0.00971737690269947,0.9712057709693909,0
coil2000_insurance_policies,TabICLv2,6548,3274,0.10553926229476929,0.2009752094745636,0.011470516212284565,0.012772563844919205,0.9407452940940857,0
credit-g,TabICLv2,666,334,0.3262743353843689,0.49579501152038574,0.02614826336503029,0.040841102600097656,0.7664670944213867,0
credit_card_clients_default,TabICLv2,20000,10000,0.2620076537132263,0.41910433769226074,0.014056520536541939,0.01747974008321762,0.822700023651123,0
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.05303092673420906,0.08446265012025833,0.002684191567823291,0.004368222318589687,0.9622118473052979,0
diabetes,TabICLv2,512,256,0.30335181951522827,0.46083804965019226,0.02913709543645382,0.0710880309343338,0.74609375,0
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.050877176225185394,0.09226912260055542,0.007508920505642891,0.01883191615343094,0.9637500047683716,0
heloc,TabICLv2,6972,3487,0.3637736737728119,0.5445737838745117,0.018405430018901825,0.03172968700528145,0.7304273247718811,0
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3115963637828827,0.478909432888031,0.012049560435116291,0.02339000441133976,0.7798013091087341,0
jm1,TabICLv2,7256,3629,0.26146814227104187,0.4154869019985199,0.012758903205394745,0.017925038933753967,0.8197850584983826,0
kddcup09_appetency,TabICLv2,33333,16667,0.03359841927886009,0.0778939500451088,0.0054515511728823185,0.005426929332315922,0.9821803569793701,0
online_shoppers_intention,TabICLv2,8220,4110,0.1411469280719757,0.22592493891716003,0.011454466730356216,0.016847016289830208,0.9007299542427063,0
polish_companies_bankruptcy,TabICLv2,3940,1970,0.030852532014250755,0.061952147632837296,0.006134042516350746,0.00966502446681261,0.9807106852531433,0
qsar-biodeg,TabICLv2,702,352,0.17027102410793304,0.30786773562431335,0.02759488672018051,0.05605947598814964,0.8920454382896423,0
seismic-bumps,TabICLv2,1722,862,0.10826756805181503,0.2005244940519333,0.008043641224503517,0.008252053521573544,0.9338747262954712,0
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.042268432676792145,0.0786486342549324,0.004031278658658266,0.0072652846574783325,0.9705235362052917,0
APSFailure,RealTabPFN-v2.5,50666,25334,0.008842241019010544,0.01809925027191639,0.003523763734847307,0.004274686798453331,0.9944738149642944,0
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.085792675614357,0.19125817716121674,0.02759954333305359,0.029581869021058083,0.9479996562004089,0
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.19771312177181244,0.3287438154220581,0.03398831933736801,0.04104408249258995,0.8692261576652527,0
Bioresponse,RealTabPFN-v2.5,2500,1251,0.27107614278793335,0.4202425181865692,0.027146058157086372,0.035025231540203094,0.8145483732223511,0
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15625,0.2913933992385864,0.03286701440811157,0.03277808427810669,0.9118707776069641,0
