dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3094932314450447,0.4893418418025255,0.04349999874830246,0.09300091862678528,0.7799999713897705,0.003586992621421814
churn,TabPFN-v2.6,3333,1667,0.0595149420365516,0.12183769573606593,0.00859721377491951,0.018099481239914894,0.9646070599555969,0.005408085882663727
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10530806871904953,0.19953321951049824,0.005267016589641571,0.005790405441075563,0.9404398202896118,0.012852635234594345
credit-g,TabPFN-v2.6,666,334,0.334230406877569,0.5019453980326426,0.04305756837129593,0.053846292197704315,0.7485029697418213,0.003419797867536545
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2624791309917151,0.4194418133574575,0.004421019461005926,0.01083576399832964,0.8234999775886536,0.014196746051311493
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.052638564968192435,0.08405292787896691,0.0010909643024206161,0.002172242384403944,0.9629510045051575,0.04622182995080948
diabetes,TabPFN-v2.6,512,256,0.31002210916614137,0.4666542875177965,0.02377081662416458,0.06253350526094437,0.75,0.003135792911052704
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06568661749380446,0.12021057005136501,0.012976542115211487,0.014149380847811699,0.9612500071525574,0.0035599134862422943
heloc,TabPFN-v2.6,6972,3487,0.3632321283216747,0.5430134672434779,0.011425759643316269,0.01980503462255001,0.7324347496032715,0.006436292082071304
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.29783050140316075,0.4605248613896759,0.011529885232448578,0.01994629018008709,0.7894985675811768,0.007307097315788269
jm1,TabPFN-v2.6,7256,3629,0.25729913151611356,0.4132157747508339,0.00804636999964714,0.016854653134942055,0.8211628794670105,0.007947169244289398
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03334448961095353,0.07530736860446664,0.0017690779641270638,0.001407740288414061,0.9821803569793701,0.018877368420362473
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13894654929200032,0.22297403919522016,0.006268318742513657,0.012203513644635677,0.9031630158424377,0.007461469620466232
