dataset,model,cal_size,test_size,CB_brier,CB_logloss,CB_kuiper,CB_ece-15,CB_accuracy,CB_time
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07452418810096767,0.12911521586549835,0.009603019803762436,0.0247661005705595,0.9487500190734863,0.06334521621465683
heloc,LimiX_GPU,6972,3487,0.3629257262970077,0.5428727016155687,0.01961773820221424,0.023815535008907318,0.7375968098640442,0.12624399410560727
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.35445599570989605,0.533402797170055,0.013119921088218689,0.029331024736166,0.7388836145401001,0.1446570516563952
jm1,LimiX_GPU,7256,3629,0.26830567835086355,0.42519920723399335,0.010367095470428467,0.013943031430244446,0.8153761625289917,0.1264455858618021
online_shoppers_intention,LimiX_GPU,8220,4110,0.14389800035293823,0.23107041438737483,0.005317221861332655,0.012280451133847237,0.8975669145584106,0.1365343821235001
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05359665049575296,0.0958326475538037,0.004383999388664961,0.012524699792265892,0.9639593958854675,0.0926926857791841
qsar-biodeg,LimiX_GPU,702,352,0.17581984210131085,0.298745444167614,0.0321185477077961,0.04961169511079788,0.8778409361839294,0.05412121396511793
seismic-bumps,LimiX_GPU,1722,862,0.11245101746698097,0.21123467155618122,0.009658563882112503,0.019326822832226753,0.9338747262954712,0.0633403048850596
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.046507401621160786,0.08274258431527486,0.004420831333845854,0.008975591510534286,0.9648042321205139,0.09118243493139744
APSFailure,TabM_GPU,50666,25334,0.008891825137513524,0.016667652737537116,0.0012173338327556849,0.0012694072211161256,0.9940791130065918,0.4380819322541356
Amazon_employee_access,TabM_GPU,21846,10923,0.0898021212070038,0.16811587738556927,0.004184391349554062,0.006176461465656757,0.9417742490768433,0.2464963709935546
Bank_Customer_Churn,TabM_GPU,6666,3334,0.1976852727699198,0.3236629542495053,0.0054346248507499695,0.01676749438047409,0.8674265146255493,0.11364043969660997
Bioresponse,TabM_GPU,2500,1251,0.288124653816214,0.44778288052457305,0.015983715653419495,0.03583342581987381,0.7905675172805786,0.07572703622281551
Diabetes130US,TabM_GPU,47678,23840,0.15493067985274775,0.28306464361305417,0.002608934883028269,0.0030707060359418392,0.9119966626167297,0.4329931577667594
E-CommereShippingData,TabM_GPU,7332,3667,0.3638077406456221,0.5063001773529349,0.030557088553905487,0.04484332725405693,0.6749386191368103,0.13157169939950109
Fitness_Club,TabM_GPU,1000,500,0.32647813413475313,0.49438430223361307,0.03112517111003399,0.05618374049663544,0.75,0.05385414091870189
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09706069024381353,0.1754462831192252,0.002400793135166168,0.0019786881748586893,0.938480019569397,0.7935304897837341
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2703036119333816,0.42579293087358144,0.01185474544763565,0.01878870651125908,0.8012840747833252,0.1744040879420936
Is-this-a-good-customer,TabM_GPU,1148,575,0.19937399610519888,0.3399180850602716,0.03271354362368584,0.05072062462568283,0.8817391395568848,0.06106678396463394
Marketing_Campaign,TabM_GPU,1493,747,0.145774750275404,0.2304775154407533,0.013948485255241394,0.030792590230703354,0.8969210386276245,0.05926208710297942
NATICUSdroid,TabM_GPU,4994,2497,0.0848939339678156,0.1450077924045185,0.007172830402851105,0.013602782972157001,0.9419302940368652,0.10259190574288368
bank-marketing,TabM_GPU,30140,15071,0.17284236821984436,0.30195541691361355,0.003441775683313608,0.004497910849750042,0.8929732441902161,0.31087704794481397
blood-transfusion-service-center,TabM_GPU,498,250,0.3055799621340368,0.4851936494986804,0.0462518110871315,0.09314616769552231,0.7839999794960022,0.05079341307282448
churn,TabM_GPU,3333,1667,0.06609843449131729,0.1384175340829974,0.013535084202885628,0.01507867593318224,0.962207555770874,0.07973073376342654
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10770037582088593,0.2059979910842791,0.006218619644641876,0.008617153391242027,0.9404398202896118,0.12226481409743428
credit-g,TabM_GPU,666,334,0.3452303955157856,0.5238336426629798,0.04455062001943588,0.06166998669505119,0.7485029697418213,0.05181678105145693
credit_card_clients_default,TabM_GPU,20000,10000,0.2649545696630924,0.423859252093569,0.006548278033733368,0.011407927609980106,0.823199987411499,0.22743505658581853
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05265630031450275,0.08332384663432728,0.0017197700217366219,0.002031087875366211,0.962650716304779,0.7037518192082644
diabetes,TabM_GPU,512,256,0.3504704556805527,0.5276982922586478,0.04630117863416672,0.10052908211946487,0.765625,0.0504526779986918
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.1135788117074347,0.18680223114419958,0.01600484363734722,0.02551848813891411,0.9225000143051147,0.0625043148174882
heloc,TabM_GPU,6972,3487,0.3674633347179995,0.547709292494041,0.012545738369226456,0.0285809226334095,0.7261255979537964,0.12955774273723364
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.3018152494451847,0.4650749020312107,0.012507647275924683,0.023414574563503265,0.7847682237625122,0.13891481468454003
jm1,TabM_GPU,7256,3629,0.2730563896907941,0.4346920279200917,0.010943371802568436,0.014282810501754284,0.8104161024093628,0.1268738340586424
kddcup09_appetency,TabM_GPU,33333,16667,0.03366209617042618,0.07826921684419817,0.0022537712939083576,0.0013949595158919692,0.9821803569793701,0.33797662192955613
online_shoppers_intention,TabM_GPU,8220,4110,0.14460067741645138,0.2307717043159414,0.009302309714257717,0.013239015825092793,0.8978102207183838,0.14410867495462298
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.041100018491054484,0.07693322604341148,0.009425063617527485,0.01273235771805048,0.9741116762161255,0.09196536568924785
qsar-biodeg,TabM_GPU,702,352,0.1845640306066911,0.3120148750104226,0.03326611965894699,0.050853922963142395,0.8806818127632141,0.05311970412731171
seismic-bumps,TabM_GPU,1722,862,0.11669218929163305,0.21402388596430613,0.012761598452925682,0.024847930297255516,0.9338747262954712,0.0628093690611422
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04631866010735938,0.0853363215646126,0.00490580964833498,0.00871972180902958,0.9731632471084595,0.08980324398726225
APSFailure,RealMLP_GPU,50666,25334,0.01098292689204526,0.020454322810494415,0.0010115099139511585,0.0013308237539604306,0.992697536945343,0.4450716730207205
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07981559366692118,0.15238573980155132,0.004638155922293663,0.007334739901125431,0.9503799080848694,0.25127777410671115
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19962047688638196,0.3258442375619544,0.007629431784152985,0.02260400727391243,0.8638272285461426,0.11042871605604887
Bioresponse,RealMLP_GPU,2500,1251,0.28065147402000595,0.43858401024740307,0.02010098099708557,0.04024510830640793,0.8001598715782166,0.07742485497146845
Diabetes130US,RealMLP_GPU,47678,23840,0.153253739854201,0.2796102919248385,0.004210206679999828,0.004246565047651529,0.9119966626167297,0.4319335832260549
E-CommereShippingData,RealMLP_GPU,7332,3667,0.3604906758711843,0.5039740304950023,0.02276541292667389,0.03701920807361603,0.6746659278869629,0.13033118285238743
Fitness_Club,RealMLP_GPU,1000,500,0.31538535092106623,0.48360610577429747,0.029082825407385826,0.04180673137307167,0.7680000066757202,0.05690624471753836
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09739539864861087,0.17600702267577106,0.0012430474162101746,0.0020489192102104425,0.9383000135421753,0.7991249561309814
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27258264394871334,0.4284802360985517,0.01042146235704422,0.022925516590476036,0.7959598898887634,0.17595550697296858
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.187858373688531,0.3217171865783596,0.019224893301725388,0.026617541909217834,0.8852173686027527,0.05764338606968522
Marketing_Campaign,RealMLP_GPU,1493,747,0.14808833620699846,0.23660554920499288,0.010608745738863945,0.02256627380847931,0.898259699344635,0.062359861098229885
NATICUSdroid,RealMLP_GPU,4994,2497,0.08612087866095774,0.14707748796573433,0.00599113292992115,0.009067910723388195,0.9399279356002808,0.0972995487973094
