dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
churn,TabDPT_GPU,3333,1667,0.067458774536711,0.2350522832758915,0.007375055458396673,0.01579723134636879,0.9604079127311707,0.0023019619984552264
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.10730276212130513,0.2072077412666026,0.006783017888665199,0.010042473673820496,0.9404398202896118,0.0032537539955228567
credit-g,TabDPT_GPU,666,334,0.3487660938792818,0.5192216962792955,0.03644970804452896,0.06280047446489334,0.71856290102005,0.001873997040092945
credit_card_clients_default,TabDPT_GPU,20000,10000,0.264503794000467,0.42203045006399714,0.005793640855699778,0.010648620314896107,0.8209999799728394,0.006474682013504207
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.0544081414965827,0.08813160688865236,0.0014249347150325775,0.002100356388837099,0.9614034295082092,0.02112122403923422
diabetes,TabDPT_GPU,512,256,0.3102002129220719,0.7954530667925799,0.024588998407125473,0.08018937706947327,0.76171875,0.001800226978957653
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.06708217812135216,0.6354559519627173,0.008204976096749306,0.019728336483240128,0.956250011920929,0.0019128690473735332
heloc,TabDPT_GPU,6972,3487,0.3666575447549381,0.6442181859665883,0.0127948597073555,0.02349054627120495,0.7327215075492859,0.0037069940008223057
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.3338722272307984,0.6009797919782618,0.01188991591334343,0.02181388810276985,0.750946044921875,0.003945211065001786
jm1,TabDPT_GPU,7256,3629,0.2542599242843193,0.5408665162831572,0.007052410393953323,0.012478359043598175,0.8239184617996216,0.0036885669687762856
kddcup09_appetency,TabDPT_GPU,33333,16667,0.03422590638954371,0.08076204657991079,0.0016243687132373452,0.0014797142939642072,0.9821803569793701,0.009118622983805835
online_shoppers_intention,TabDPT_GPU,8220,4110,0.14242408694722916,0.22983149478085413,0.007441304624080658,0.011912125162780285,0.8982968330383301,0.0037538299802690744
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.029102560874593186,0.1428382899312234,0.0031945761293172836,0.005692183505743742,0.9812182784080505,0.0024307509884238243
qsar-biodeg,TabDPT_GPU,702,352,0.1809669704186738,0.7733118683042612,0.031275708228349686,0.06333857029676437,0.8721590638160706,0.001831391011364758
seismic-bumps,TabDPT_GPU,1722,862,0.1089821213660088,0.29691652749223946,0.010761630721390247,0.01131904125213623,0.9338747262954712,0.0020363680087029934
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.04338336307858541,0.11418094755199686,0.004541406407952309,0.007474005687981844,0.9722833037376404,0.0025704000145196915
