dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
kddcup09_appetency,RealMLP_GPU,33333,16667,0.033361556653527094,0.07521408075062937,0.0013151098974049091,0.001243281178176403,0.9821803569793701,2.1047262102365494
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14428883316175967,0.23409193198578732,0.00808965228497982,0.015271530486643314,0.9002432823181152,0.9708366505801678
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.04442663152459954,0.08625950528918272,0.008720757439732552,0.013058112934231758,0.972588837146759,0.4868965744972229
qsar-biodeg,RealMLP_GPU,702,352,0.17768722292425643,0.30591613507213683,0.03939443826675415,0.0452173613011837,0.8892045617103577,0.2604358084499836
seismic-bumps,RealMLP_GPU,1722,862,0.11086115965802557,0.20651026762964447,0.01078793965280056,0.011216013692319393,0.9338747262954712,0.24603815004229546
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.04429895584628266,0.08053706830344154,0.006351655349135399,0.010099492035806179,0.968323826789856,0.6434435695409775
APSFailure,BetaTabPFN_GPU,50666,25334,0.00945740123207346,0.017719152084240568,0.0013462277129292488,0.0019547389820218086,0.9940001368522644,4.640532501041889
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.08823579518953582,0.16693851550046487,0.00503893569111824,0.008682427927851677,0.9445207118988037,1.775406040251255
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.19673269921572484,0.3247304811730179,0.014805015176534653,0.019957471638917923,0.8677264451980591,0.5354448221623898
Bioresponse,BetaTabPFN_GPU,2500,1251,0.3125438841273586,0.47751390724969794,0.03552880883216858,0.05113669112324715,0.7769784331321716,0.31964345276355743
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15488503352826657,0.28294858010459206,0.0043323226273059845,0.005119257606565952,0.9119966626167297,2.1284995265305042
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.35413074502307945,0.4957264979170098,0.0127677321434021,0.008558906614780426,0.6907553672790527,0.4016522206366062
Fitness_Club,BetaTabPFN_GPU,1000,500,0.31366014636300293,0.47832694760540095,0.01652906835079193,0.05385099723935127,0.7820000052452087,0.1784951314330101
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09725964850098087,0.17604945150242587,0.0014765872620046139,0.0027104399632662535,0.9380999803543091,6.918035659939051
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2713177589698321,0.4268343549489029,0.009052462875843048,0.012903360649943352,0.8037895560264587,0.577234473079443
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.1895274470748635,0.32183238380898443,0.01613122969865799,0.027589241042733192,0.8799999952316284,0.15566664934158325
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13665324779050658,0.22169624303670304,0.018342653289437294,0.03174111247062683,0.898259699344635,0.3823988772928715
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.08549713788062369,0.14741219944002218,0.0056682005524635315,0.012495208531618118,0.9431317448616028,0.8155455477535725
bank-marketing,BetaTabPFN_GPU,30140,15071,0.1724422844244047,0.30038160666562586,0.004423191770911217,0.008838745765388012,0.8923097252845764,1.0746950395405293
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.3114829186671888,0.5157813361525729,0.06420987099409103,0.1322365552186966,0.8119999766349792,0.1454833745956421
churn,BetaTabPFN_GPU,3333,1667,0.05839796110837552,0.12488725739188263,0.010275633074343204,0.018294619396328926,0.9652069807052612,0.36144429072737694
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10558003819320029,0.20172596625506492,0.00484124943614006,0.004495063330978155,0.9404398202896118,0.5203027725219727
credit-g,BetaTabPFN_GPU,666,334,0.34342946219062304,0.5180381869265408,0.04827951639890671,0.07576684653759003,0.7455089688301086,0.14360563829541206
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.2639816836921661,0.42167307948653343,0.009059381671249866,0.011868610978126526,0.8226000070571899,0.841860968619585
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07077212299152398,0.11605978460141363,0.002096434123814106,0.003954766318202019,0.9497621059417725,11.330965913832188
