dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08749895208283347,0.15890776862038114,0.013286812230944633,0.028538145124912262,0.9512500166893005,0.06401647254824638
heloc,RealMLP_GPU,6972,3487,0.3626059054455017,0.5421506539030942,0.012993883341550827,0.024078287184238434,0.7307140827178955,0.13043467327952385
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.30436934242168145,0.46788912863894505,0.018404848873615265,0.03014805167913437,0.7812204360961914,0.14526592195034027
jm1,RealMLP_GPU,7256,3629,0.26841611928633397,0.4247381280236385,0.0090482197701931,0.0178235974162817,0.8139983415603638,0.12866917997598648
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03333575256091068,0.07517345514150857,0.0011615947587415576,0.0005739665357396007,0.9821803569793701,0.34234368056058884
online_shoppers_intention,RealMLP_GPU,8220,4110,0.1443179666334398,0.2334235435323389,0.006405737716704607,0.013975627720355988,0.9017031788825989,0.14933670684695244
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.044227775994482126,0.08701566319728508,0.008675048127770424,0.009760859422385693,0.9730964303016663,0.08993135765194893
qsar-biodeg,RealMLP_GPU,702,352,0.18289760517830791,0.3151198065480495,0.033903010189533234,0.06121710687875748,0.8806818127632141,0.05177672579884529
seismic-bumps,RealMLP_GPU,1722,862,0.11130703751435708,0.20699031964992828,0.008298463188111782,0.006752625107765198,0.9338747262954712,0.06140558794140816
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.044171172691457865,0.08013409507940676,0.007955988869071007,0.009591360576450825,0.9718433618545532,0.09467145800590515
APSFailure,BetaTabPFN_GPU,50666,25334,0.009495093975777706,0.017707996921865015,0.0012293385807424784,0.0015691559528931975,0.9940396547317505,0.4553500600159168
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.08839175997939042,0.16734406690885065,0.005542345345020294,0.008617551997303963,0.9455277919769287,0.25372906401753426
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.19641562445648797,0.3214089170557297,0.008778839372098446,0.018857097253203392,0.8674265146255493,0.11575452238321304
Bioresponse,BetaTabPFN_GPU,2500,1251,0.31221083434402597,0.4745015990698624,0.02863594889640808,0.04188663884997368,0.7673860788345337,0.07801571860909462
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.154865326487111,0.2830744853213125,0.005108974874019623,0.004983709193766117,0.9119966626167297,0.45019615814089775
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.3543831985794989,0.49607623738260176,0.028725268319249153,0.015215125866234303,0.6915735006332397,0.12872764840722084
Fitness_Club,BetaTabPFN_GPU,1000,500,0.3132503191263244,0.47845474586749925,0.019116193056106567,0.05076609551906586,0.7820000052452087,0.055206604301929474
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09732766503930347,0.1760063120392714,0.0019481165800243616,0.0036354553885757923,0.9381399750709534,0.8931205719709396
