dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.26344525814056396,0.42106175422668457,0.008419683203101158,0.014884076081216335,0.8235999941825867,0.05141127109527588
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.05496121197938919,0.08809123933315277,0.002806356642395258,0.004443145357072353,0.9611262679100037,0.21028363704681396
diabetes,ModernNCA_GPU,512,256,0.3195286989212036,0.4774886965751648,0.017381593585014343,0.051082659512758255,0.73828125,0.0038315877318382263
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.08743923157453537,0.16394416987895966,0.022580277174711227,0.035229235887527466,0.9424999952316284,0.006214912980794907
heloc,ModernNCA_GPU,6972,3487,0.3625657260417938,0.5419950485229492,0.014181196689605713,0.020041288807988167,0.7344422340393066,0.01947033777832985
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.31832191348075867,0.48765993118286133,0.04401236027479172,0.06066497787833214,0.7767266035079956,0.023435186594724655
jm1,ModernNCA_GPU,7256,3629,0.2639783024787903,0.41958391666412354,0.013513052836060524,0.019353430718183517,0.8139983415603638,0.02028675749897957
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.034026138484478,0.07909636199474335,0.004102285951375961,0.0016272219363600016,0.9821803569793701,0.0838310681283474
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14018411934375763,0.22671197354793549,0.006933128461241722,0.009687996469438076,0.899756669998169,0.022669490426778793
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.0405283160507679,0.0804004967212677,0.015708496794104576,0.020213406533002853,0.9761421084403992,0.011909611523151398
qsar-biodeg,ModernNCA_GPU,702,352,0.19457365572452545,0.3234017789363861,0.027156323194503784,0.05984502658247948,0.8607954382896423,0.004106540232896805
seismic-bumps,ModernNCA_GPU,1722,862,0.11101405322551727,0.20467957854270935,0.010945634916424751,0.015229927375912666,0.9338747262954712,0.006578005850315094
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.04388260468840599,0.0812915787100792,0.006456906907260418,0.010721832513809204,0.9722833037376404,0.013768844306468964
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.19592224061489105,0.32036635279655457,0.006536695174872875,0.015927016735076904,0.8686262965202332,0.01900816336274147
E-CommereShippingData,Mitra_GPU,7332,3667,0.35559558868408203,0.4964607357978821,0.015228182077407837,0.022492054849863052,0.6836650967597961,0.020388387143611908
Fitness_Club,Mitra_GPU,1000,500,0.31270644068717957,0.4754863381385803,0.022291216999292374,0.04442330449819565,0.7820000052452087,0.004744701087474823
Is-this-a-good-customer,Mitra_GPU,1148,575,0.1917264461517334,0.3253571093082428,0.015394553542137146,0.01773516647517681,0.8782608509063721,0.0050914958119392395
Marketing_Campaign,Mitra_GPU,1493,747,0.13453897833824158,0.2176431119441986,0.013330075889825821,0.04142465069890022,0.8995984196662903,0.005944482982158661
NATICUSdroid,Mitra_GPU,4994,2497,0.08417925983667374,0.14192701876163483,0.005733303260058165,0.009058010764420033,0.9407289028167725,0.014767684042453766
blood-transfusion-service-center,Mitra_GPU,498,250,0.3066524267196655,0.4892064034938812,0.050146277993917465,0.10353115200996399,0.800000011920929,0.0037071816623210907
churn,Mitra_GPU,3333,1667,0.04169002175331116,0.09789212793111801,0.012987764552235603,0.013901632279157639,0.976604700088501,0.010533899068832397
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10610490292310715,0.20241156220436096,0.004787923768162727,0.004992725793272257,0.9404398202896118,0.018554147332906723
credit-g,Mitra_GPU,666,334,0.330390602350235,0.5046980381011963,0.04204582795500755,0.06368644535541534,0.757485032081604,0.0041274987161159515
diabetes,Mitra_GPU,512,256,0.30867800116539,0.4644215703010559,0.02071237936615944,0.04802900552749634,0.765625,0.0036364495754241943
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.08341268450021744,0.1431887298822403,0.01028207316994667,0.025901952758431435,0.9437500238418579,0.006241030991077423
heloc,Mitra_GPU,6972,3487,0.3623264729976654,0.5424208045005798,0.019040469080209732,0.016724076122045517,0.735589325428009,0.01902981847524643
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.3212900161743164,0.49137428402900696,0.01766904443502426,0.031471818685531616,0.7703405618667603,0.023802589625120163
jm1,Mitra_GPU,7256,3629,0.2664150893688202,0.42285609245300293,0.007817838340997696,0.012647870928049088,0.8184072971343994,0.020462647080421448
online_shoppers_intention,Mitra_GPU,8220,4110,0.14042481780052185,0.22491680085659027,0.0052279881201684475,0.013969809748232365,0.8995133638381958,0.022491294890642166
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.04060438647866249,0.07710622251033783,0.010242327116429806,0.01782241277396679,0.9746192693710327,0.011856239289045334
qsar-biodeg,Mitra_GPU,702,352,0.18583375215530396,0.3146471083164215,0.025210507214069366,0.050156861543655396,0.8778409361839294,0.004222534596920013
