dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
seismic-bumps,RealTabPFN-v2.5,1722,862,0.10973711205817947,0.2029370731721049,0.010608740150928497,0.010374070145189762,0.9338747262954712,0.010722760111093521
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.04299249757359157,0.07760808107742952,0.0048995669931173325,0.007873845286667347,0.9718433618545532,0.013753440231084824
APSFailure,TabICL_GPU,50666,25334,0.008660278679788571,0.01609409923327168,0.0007385998032987118,0.001251976820640266,0.9942370057106018,0.0511159673333168
Amazon_employee_access,TabICL_GPU,21846,10923,0.08081113260270545,0.15567338505284264,0.002708285581320524,0.005619879812002182,0.9480912089347839,0.025414692237973213
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.19961683463468763,0.32657826917986266,0.007522597908973694,0.01633647456765175,0.8650270104408264,0.009244191460311413
Diabetes130US,TabICL_GPU,47678,23840,0.15593754661946208,0.2851449394357383,0.0024023540318012238,0.0014518976677209139,0.9119966626167297,0.05122569669038057
E-CommereShippingData,TabICL_GPU,7332,3667,0.3551375542477446,0.496230480235438,0.012454144656658173,0.009328566491603851,0.6880283355712891,0.009553531184792519
Fitness_Club,TabICL_GPU,1000,500,0.31355514886974933,0.4770699605062044,0.023275263607501984,0.05763956159353256,0.777999997138977,0.003595205955207348
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09779499631174447,0.1761821001900061,0.001014571636915207,0.002327818190678954,0.9373400211334229,0.07828614953905344
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.26877262406403335,0.4234330456843178,0.009077697992324829,0.013638380914926529,0.8047291040420532,0.01836465485394001
Is-this-a-good-customer,TabICL_GPU,1148,575,0.18736538896266988,0.31978627799056286,0.016241703182458878,0.021167555823922157,0.886956512928009,0.003920983523130417
Marketing_Campaign,TabICL_GPU,1493,747,0.14292467481143423,0.22720929223731548,0.01463623158633709,0.03967619314789772,0.9036144614219666,0.004290768876671791
NATICUSdroid,TabICL_GPU,4994,2497,0.07883555261097992,0.13723005325215812,0.002957938238978386,0.008358251303434372,0.9471365809440613,0.00962732546031475
bank-marketing,TabICL_GPU,30140,15071,0.17206491307398633,0.2998380280146361,0.0037496411241590977,0.00909058004617691,0.8940349221229553,0.02653990313410759
blood-transfusion-service-center,TabICL_GPU,498,250,0.31454091273313817,0.49746957314392476,0.05066675692796707,0.10295438021421432,0.7839999794960022,0.003272666595876217
