dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
jm1,LimiX_GPU,7256,3629,0.26674162475686564,0.5355712296024234,0.015399318188428879,0.011446209624409676,0.8137227892875671,0.01289876108057797
online_shoppers_intention,LimiX_GPU,8220,4110,0.14317826732121045,0.22928423479304558,0.008465134538710117,0.010123464278876781,0.899756669998169,0.013807537965476513
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05217767615681925,0.1755063016414444,0.00433586910367012,0.007891668006777763,0.9639593958854675,0.009763617999851704
qsar-biodeg,LimiX_GPU,702,352,0.17665339231171975,1.002463799280167,0.030897080898284912,0.050219375640153885,0.8664772510528564,0.006547351949848235
seismic-bumps,LimiX_GPU,1722,862,0.10926262227824135,0.30161495012083717,0.01706898957490921,0.013107947073876858,0.9338747262954712,0.007578192977234721
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.0446551784134094,0.11720543940745283,0.004549487493932247,0.007724888622760773,0.9714034199714661,0.010452604969032109
APSFailure,TabM_GPU,50666,25334,0.008919884273038583,0.016658189014972836,0.0008225466008298099,0.0013946953695267439,0.9941185712814331,0.05451276700478047
Amazon_employee_access,TabM_GPU,21846,10923,0.08932467309627691,0.16743434225879567,0.004243148490786552,0.004922853782773018,0.9425066113471985,0.025265753036364913
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19706605821027565,0.3222485833858681,0.01835980825126171,0.021517137065529823,0.8689262270927429,0.012466206098906696
Bioresponse,TabM_GPU,2500,1251,0.286652298514277,0.4452577224927847,0.01819496601819992,0.04119640588760376,0.7905675172805786,0.008310116012580693
Diabetes130US,TabM_GPU,47678,23840,0.15462107100429212,0.28181782404987754,0.007263585925102234,0.0037503757048398256,0.9119966626167297,0.05184972600545734
E-CommereShippingData,TabM_GPU,7332,3667,0.3579107630337212,0.4992801820807554,0.02730962261557579,0.028449559584259987,0.67030268907547,0.012478179996833205
Fitness_Club,TabM_GPU,1000,500,0.3185541561507307,0.48554009926035613,0.0289747416973114,0.03877125680446625,0.7559999823570251,0.006363761960528791
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09692798267439061,0.17526538079711657,0.002029119059443474,0.002030279953032732,0.9386799931526184,0.10139731701929122
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2702730952753385,0.425426198274828,0.012285836040973663,0.018221886828541756,0.8025367856025696,0.0175675229402259
