dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.1948279642560059,,0.009188121184706688,0.02259979583323002,0.870125949382782,0.038479577749967575
Bioresponse,RealTabPFN-v2.5,2500,1251,0.27121048936176884,0.42376989063622683,0.0232430100440979,0.04649623483419418,0.8065547347068787,0.01526748901233077
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15404843645209085,0.2817588834626289,0.004681028425693512,0.005486445501446724,0.911912739276886,0.2771418238990009
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.3556942552083423,,0.015930086374282837,0.021657802164554596,0.6888464689254761,0.043088069185614586
Fitness_Club,RealTabPFN-v2.5,1000,500,0.3143572098470115,0.47772306327211533,0.021060075610876083,0.056595467031002045,0.7760000228881836,0.006489637307822704
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09703984869732848,0.17541100915667882,0.002818044275045395,0.004296471364796162,0.9384199976921082,0.5788000128231943
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.2678047002536737,0.42300084247895664,0.007265273481607437,0.010977471247315407,0.8070780038833618,0.07434504386037588
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.1956906629744999,0.3343129659112296,0.016980022192001343,0.025167196989059448,0.8695651888847351,0.007505078800022602
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.1322408577904021,,0.01371021755039692,0.03271869570016861,0.9022757411003113,0.009411318227648735
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08439642005855073,,0.006917990744113922,0.009436063468456268,0.9411293268203735,0.029633848927915096
bank-marketing,RealTabPFN-v2.5,30140,15071,0.1722481114972044,0.2998841776550996,0.004274681210517883,0.010746918618679047,0.8927078247070312,0.1734293350018561
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.30333222153145983,,0.05075005441904068,0.11738869547843933,0.7919999957084656,0.003720819018781185
churn,RealTabPFN-v2.5,3333,1667,0.05016270529647201,,0.014908893033862114,0.018802104517817497,0.9676064848899841,0.020231300964951515
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10637316185263038,0.2021186109253291,0.006863626651465893,0.0084471320733428,0.9401344060897827,0.037685700226575136
credit-g,RealTabPFN-v2.5,666,334,0.3309140315157549,,0.036574993282556534,0.0640874058008194,0.7514970302581787,0.004674325697124004
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.26345269611804445,0.4208642576237993,0.007074795663356781,0.016233419999480247,0.8228999972343445,0.11641465174034238
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.053987684422131185,,0.0019293079385533929,0.0040222094394266605,0.9626275897026062,0.5067187240347266
diabetes,RealTabPFN-v2.5,512,256,0.30710541638477173,0.4649078905193223,0.023847848176956177,0.059145718812942505,0.765625,0.003792795818299055
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06504710207694368,,0.009975059889256954,0.011610159650444984,0.9587500095367432,0.009664817247539759
heloc,RealTabPFN-v2.5,6972,3487,0.3636146344989758,0.5446571084657603,0.013616155833005905,0.01787864975631237,0.7312876582145691,0.040214675944298506
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.3073909294281799,,0.011718211695551872,0.02759835496544838,0.7833490967750549,0.049637419171631336
jm1,RealTabPFN-v2.5,7256,3629,0.25992487068186654,,0.007839012891054153,0.017137635499238968,0.8181317448616028,0.04351289104670286
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.033318947352257516,,0.0017858613282442093,0.0008175789262168109,0.9821803569793701,0.19442132906988263
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.1402338510607874,,0.006901211105287075,0.012570835649967194,0.9026764035224915,0.04737222287803888
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.05981386690641403,,0.03296308219432831,0.049925174564123154,0.930964469909668,0.023327619303017855
qsar-biodeg,RealTabPFN-v2.5,702,352,0.18497722970235567,,0.03783828020095825,0.04709585756063461,0.8835227489471436,0.004853934049606323
seismic-bumps,RealTabPFN-v2.5,1722,862,0.10787294033678413,,0.007286332547664642,0.008660800755023956,0.9338747262954712,0.010745482053607702
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.04326569027231447,,0.004237435758113861,0.00960585381835699,0.9709634780883789,0.026144064031541348
