dataset,model,cal_size,test_size,CB-monotone_brier,CB-monotone_logloss,CB-monotone_kuiper,CB-monotone_ece-15,CB-monotone_accuracy,CB-monotone_time
E-CommereShippingData,TabM_GPU,7332,3667,0.3577951426268978,0.49945087210189454,0.024751098826527596,0.03526417911052704,0.6907553672790527,0.25484322756528854
Fitness_Club,TabM_GPU,1000,500,0.3162005152014106,0.4825724696779555,0.022884830832481384,0.040004078298807144,0.7720000147819519,0.17138346657156944
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09702799973523898,0.17534813487052867,0.0017770527629181743,0.0032048909924924374,0.9377999901771545,1.1787163354456425
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2702553507735979,0.42547365824686556,0.012488622218370438,0.020608464255928993,0.8044158816337585,0.316029816865921
Is-this-a-good-customer,TabM_GPU,1148,575,0.19374671347375527,0.3320018463460191,0.021918457001447678,0.04951821267604828,0.886956512928009,0.16905654594302177
Marketing_Campaign,TabM_GPU,1493,747,0.14431716096092073,0.23030311194493663,0.016388293355703354,0.03821678087115288,0.8969210386276245,0.17408348247408867
NATICUSdroid,TabM_GPU,4994,2497,0.08407536302870884,0.14288743669120893,0.007597998715937138,0.017083432525396347,0.9399279356002808,0.22102437540888786
bank-marketing,TabM_GPU,30140,15071,0.17201110028380778,0.2998128159876582,0.004905317910015583,0.007169859018176794,0.8929732441902161,0.48739127814769745
blood-transfusion-service-center,TabM_GPU,498,250,0.3087274020304557,0.49072914939333895,0.05712486431002617,0.11521957069635391,0.800000011920929,0.1642344854772091
churn,TabM_GPU,3333,1667,0.06518741062703101,0.13713122727932442,0.015780851244926453,0.017021281644701958,0.962207555770874,0.1914888508617878
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10616407509094158,0.203220026915727,0.007321193814277649,0.00826350785791874,0.9404398202896118,0.24059150367975235
credit-g,TabM_GPU,666,334,0.33556781889118387,0.5103154550972382,0.05566985160112381,0.07047584652900696,0.7634730339050293,0.1656799465417862
credit_card_clients_default,TabM_GPU,20000,10000,0.26381166034456144,0.42142897447741007,0.007525451481342316,0.01166790071874857,0.823199987411499,0.38989290595054626
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05260393207273824,0.08316476046169219,0.002672351896762848,0.0027214493602514267,0.962650716304779,1.0209327898919582
diabetes,TabM_GPU,512,256,0.341270814238813,0.5137483478531146,0.057380858808755875,0.0892970934510231,0.765625,0.16241610795259476
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.10887800426200667,0.1810193382411672,0.014513306319713593,0.026054607704281807,0.925000011920929,0.17183934524655342
heloc,TabM_GPU,6972,3487,0.36616726639922015,0.5459155534553173,0.014437280595302582,0.02443307638168335,0.7278462648391724,0.2506043463945389
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.30092482373330887,0.4635718732735899,0.013999372720718384,0.029336219653487206,0.7805109024047852,0.2782982997596264
jm1,TabM_GPU,7256,3629,0.2709693825666925,0.42998818465759786,0.007691321894526482,0.010259952396154404,0.8104161024093628,0.25429896265268326
kddcup09_appetency,TabM_GPU,33333,16667,0.03350374118666323,0.07637757109592858,0.0013902951031923294,0.0010445076040923595,0.9821803569793701,0.5275133401155472
online_shoppers_intention,TabM_GPU,8220,4110,0.1419381664781559,0.2276677183800688,0.006869581528007984,0.012307057157158852,0.9009732604026794,0.2727287486195564
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.040162940377498756,0.07673599450651024,0.010357558727264404,0.01300761103630066,0.9756345152854919,0.2124483846127987
qsar-biodeg,TabM_GPU,702,352,0.1829406146127421,0.3077318347022953,0.034110039472579956,0.04375040903687477,0.8806818127632141,0.16654015704989433
seismic-bumps,TabM_GPU,1722,862,0.11195573077775485,0.2064141392912406,0.01279886532574892,0.010010757483541965,0.9338747262954712,0.17845266684889793
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.044693319140053096,0.08268615307510468,0.0049652517773211,0.008151065558195114,0.9731632471084595,0.21246559545397758
APSFailure,RealMLP_GPU,50666,25334,0.010944253675511004,0.020005961327803443,0.0010178564116358757,0.0016471787821501493,0.992697536945343,0.6270826607942581
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07945280784554326,0.15139140814363897,0.00408201664686203,0.007762568071484566,0.9503799080848694,0.3997759148478508
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19838877289684173,0.32393509171014634,0.009339568205177784,0.018323400989174843,0.8668266534805298,0.23690717667341232
Bioresponse,RealMLP_GPU,2500,1251,0.2793573324847207,0.43731548534813,0.02276567555963993,0.04308813810348511,0.8001598715782166,0.19122359529137611
Diabetes130US,RealMLP_GPU,47678,23840,0.15305294712015988,0.2787971723723955,0.005341397598385811,0.0045677851885557175,0.9119966626167297,0.6402268931269646
E-CommereShippingData,RealMLP_GPU,7332,3667,0.35838185116903576,0.5018494049726177,0.020958028733730316,0.03216050565242767,0.6738478541374207,0.25418851897120476
Fitness_Club,RealMLP_GPU,1000,500,0.3166466493992506,0.484838296432276,0.023472703993320465,0.0472576767206192,0.7739999890327454,0.16736207529902458
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09733332225046977,0.1759064731793009,0.002066735178232193,0.0026204828172922134,0.9383000135421753,1.1437724567949772
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27135971539739207,0.42631764244058346,0.009498469531536102,0.01681159809231758,0.801910400390625,0.312324445694685
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.1870279157554525,0.31823160958727065,0.01799280196428299,0.023924537003040314,0.8852173686027527,0.1588798463344574
Marketing_Campaign,RealMLP_GPU,1493,747,0.14610835248401177,0.23662593016043618,0.007507665548473597,0.021255863830447197,0.898259699344635,0.1696268655359745
NATICUSdroid,RealMLP_GPU,4994,2497,0.08388668947681596,0.14317422597151583,0.005730204284191132,0.010705485008656979,0.9427312612533569,0.21060627698898315
bank-marketing,RealMLP_GPU,30140,15071,0.1715046787428119,0.2995787544649628,0.005161228124052286,0.008228238672018051,0.8939685225486755,0.47202935814857483
blood-transfusion-service-center,RealMLP_GPU,498,250,0.30624363461045356,0.49092561842987276,0.047738149762153625,0.07288113236427307,0.8119999766349792,0.15733147785067558
churn,RealMLP_GPU,3333,1667,0.06427204921315774,0.13707993184492026,0.022677697241306305,0.025755643844604492,0.9604079127311707,0.19128833338618279
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10617120291328576,0.20283911362229973,0.00780005007982254,0.010396145284175873,0.9404398202896118,0.23820548132061958
credit-g,RealMLP_GPU,666,334,0.3242254055944436,0.4944575691495833,0.04324040561914444,0.046819183975458145,0.757485032081604,0.16342920437455177
credit_card_clients_default,RealMLP_GPU,20000,10000,0.2638596390158696,0.42234576244310446,0.008511638268828392,0.014216470532119274,0.8235999941825867,0.38516319170594215
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.05349058896989509,0.08536867771856647,0.002318520098924637,0.003133955178782344,0.9622811675071716,0.9888889268040657
diabetes,RealMLP_GPU,512,256,0.3033776280677952,0.46198728050972926,0.0256807841360569,0.04592917487025261,0.78125,0.15775755047798157
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.09026086120669102,0.1605078585752059,0.015244554728269577,0.029614346101880074,0.9362499713897705,0.17023636028170586
heloc,RealMLP_GPU,6972,3487,0.3623292389800024,0.5418141978401487,0.012382276356220245,0.024233845993876457,0.7358760833740234,0.24500296637415886
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.30395391769544555,0.4675936484259861,0.01804470270872116,0.029721781611442566,0.7828760743141174,0.26523226872086525
jm1,RealMLP_GPU,7256,3629,0.26828833948375325,0.42468056012649974,0.008685439825057983,0.01785244233906269,0.8142738938331604,0.2454080693423748
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03334073469839525,0.07517976192067456,0.0009744944982230663,0.0005031927139498293,0.9821803569793701,0.49901269748806953
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14382024627257395,0.23258535455632848,0.006478110793977976,0.012383157387375832,0.8999999761581421,0.26685766875743866
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.04458216949297641,0.08709634476623804,0.008954418823122978,0.011537340469658375,0.9720812439918518,0.2026873268187046
qsar-biodeg,RealMLP_GPU,702,352,0.18108498149250526,0.30931040695114953,0.03023809939622879,0.044558316469192505,0.8835227489471436,0.1605934277176857
seismic-bumps,RealMLP_GPU,1722,862,0.11130876450789935,0.2073676139355298,0.01392712164670229,0.009473280049860477,0.9338747262954712,0.16737014427781105
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.04433296237081657,0.08069975950058929,0.009031035006046295,0.010726775042712688,0.9718433618545532,0.20388347283005714
APSFailure,BetaTabPFN_GPU,50666,25334,0.009488285497247196,0.017734828629340116,0.0012209098786115646,0.0015926206251606345,0.9940396547317505,0.6124325655400753
