dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
Bioresponse,TabICLv2,2500,1251,0.29081042136294316,0.44940086211379887,0.032153140753507614,0.039603572338819504,0.7977617979049683,0.007401846349239349
Diabetes130US,TabICLv2,47678,23840,0.15410813171007454,0.2810497718642987,0.003383684903383255,0.006219979375600815,0.9119966626167297,0.06375819817185402
E-CommereShippingData,TabICLv2,7332,3667,0.3541406760112307,0.49477425119031454,0.01071193814277649,0.007877371273934841,0.6874829530715942,0.01813901960849762
Fitness_Club,TabICLv2,1000,500,0.3132160021051838,0.47564776201556663,0.02167854830622673,0.05399172008037567,0.7760000228881836,0.022630508989095688
GiveMeSomeCredit,TabICLv2,100000,50000,0.09746392831710465,0.17560231513477084,0.0017561428248882294,0.002301836386322975,0.9374799728393555,0.14588605239987373
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.26761779455691187,0.42218138009132056,0.008001677691936493,0.016350993886590004,0.8058252334594727,0.02283598482608795
Is-this-a-good-customer,TabICLv2,1148,575,0.18819963774592338,0.31991534701960045,0.016975291073322296,0.03824939578771591,0.8799999952316284,0.012243427336215973
Marketing_Campaign,TabICLv2,1493,747,0.13508308308588285,0.21614219408746232,0.016115179285407066,0.02971228025853634,0.8955823183059692,0.005490060895681381
NATICUSdroid,TabICLv2,4994,2497,0.07998893068969902,0.13542733747033603,0.004404016770422459,0.008617343381047249,0.9459351301193237,0.01037498190999031
bank-marketing,TabICLv2,30140,15071,0.17113417228480512,0.29846798500825766,0.0057025812566280365,0.010443232022225857,0.8940349221229553,0.12128051370382309
blood-transfusion-service-center,TabICLv2,498,250,0.298316099955834,0.4745058163838134,0.039764538407325745,0.07595182210206985,0.7919999957084656,0.009970135986804962
churn,TabICLv2,3333,1667,0.04998098767064414,0.11046795963571199,0.009136097505688667,0.011599716730415821,0.9712057709693909,0.009998857975006104
coil2000_insurance_policies,TabICLv2,6548,3274,0.10544728464756116,0.19976699601629044,0.005144340917468071,0.00445196870714426,0.9407452940940857,0.014295481145381927
credit-g,TabICLv2,666,334,0.32615591766475166,0.49429758943010144,0.03044094890356064,0.05588218942284584,0.7664670944213867,0.0037224069237709045
credit_card_clients_default,TabICLv2,20000,10000,0.26174907554977206,0.418353224322778,0.0048883771523833275,0.01150236651301384,0.822700023651123,0.07346625253558159
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.05297365270886739,0.08427609303839553,0.0010798890143632889,0.004241956397891045,0.9622118473052979,0.14610223099589348
diabetes,TabICLv2,512,256,0.3030062754764065,0.4606532684934722,0.023860611021518707,0.0567663311958313,0.74609375,0.01001405343413353
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.050684949979043825,0.09146693035535183,0.0064826603047549725,0.019045356661081314,0.9637500047683716,0.005255881696939468
heloc,TabICLv2,6972,3487,0.36277372483033815,0.5421621522917072,0.013349909335374832,0.020848821848630905,0.7304273247718811,0.03325461596250534
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3114280534683006,0.47719282854156747,0.012151151895523071,0.020491207018494606,0.7798013091087341,0.03690808266401291
jm1,TabICLv2,7256,3629,0.2612280451321186,0.4131157110434204,0.01957552321255207,0.01850222796201706,0.8197850584983826,0.03072277456521988
kddcup09_appetency,TabICLv2,33333,16667,0.033511396978266605,0.07632315253177838,0.0016245697624981403,0.0016394181875512004,0.9821803569793701,0.12560098990797997
online_shoppers_intention,TabICLv2,8220,4110,0.14036338436822904,0.2245652494971643,0.00565376877784729,0.010891096666455269,0.9007299542427063,0.016159787774086
