dataset,model,cal_size,test_size,Platt_brier,Platt_logloss,Platt_kuiper,Platt_ece-15,Platt_accuracy,Platt_time
Marketing_Campaign,TabDPT_GPU,1493,747,0.14385387115904288,0.24004097504540098,0.019960587844252586,0.0523018054664135,0.9022757411003113,0.009530025534331799
NATICUSdroid,TabDPT_GPU,4994,2497,0.09059428121046706,0.17831987717020348,0.020324282348155975,0.020375894382596016,0.9471365809440613,0.015003414824604988
bank-marketing,TabDPT_GPU,30140,15071,0.17371725607801045,0.30427681144514707,0.01097916066646576,0.01892346702516079,0.8939685225486755,0.08073484152555466
blood-transfusion-service-center,TabDPT_GPU,498,250,0.299713371782884,0.475026814348908,0.036966338753700256,0.062353506684303284,0.7960000038146973,0.007828696630895138
churn,TabDPT_GPU,3333,1667,0.06755015424331068,0.13784136106300626,0.00903106015175581,0.016622576862573624,0.9598080515861511,0.011446401476860046
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.1096683276273783,0.21512461275028674,0.01199328526854515,0.010634220205247402,0.9383017420768738,0.03041298035532236
credit-g,TabDPT_GPU,666,334,0.34420955049610774,0.5146449722220509,0.033331211656332016,0.06204771250486374,0.7245509028434753,0.008549311198294163
credit_card_clients_default,TabDPT_GPU,20000,10000,0.26490620661319914,0.42307842118056177,0.008500376716256142,0.013787461444735527,0.8203999996185303,0.06765301525592804
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.05934563130669161,0.1063895764778561,0.008852893486618996,0.013379362411797047,0.9608028531074524,0.12597860395908356
diabetes,TabDPT_GPU,512,256,0.31103236534826695,0.4725878811454253,0.03202416002750397,0.05020534619688988,0.75390625,0.007663690485060215
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.06721397783342849,0.12603358933879902,0.011829037219285965,0.01955627277493477,0.956250011920929,0.010058348067104816
heloc,TabDPT_GPU,6972,3487,0.3699093618950353,0.552723111908141,0.016247466206550598,0.041930682957172394,0.7327215075492859,0.040989285334944725
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.3333397808563839,0.5038886984815716,0.009918518364429474,0.020117202773690224,0.7537842988967896,0.0334784435108304
jm1,TabDPT_GPU,7256,3629,0.26379352778419424,0.4240563343422456,0.03124646656215191,0.063185915350914,0.8261228799819946,0.021601288579404354
kddcup09_appetency,TabDPT_GPU,33333,16667,0.03500420973794101,0.08942774202183425,0.017334021627902985,3.099203604506329e-05,0.9821803569793701,0.04766250401735306
online_shoppers_intention,TabDPT_GPU,8220,4110,0.14854163875542925,0.25162246026068935,0.02298271283507347,0.03130420297384262,0.8992700576782227,0.03563647344708443
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.03439945230202877,0.07472972729932845,0.01010272279381752,0.011678083799779415,0.9802030324935913,0.015391377732157707
qsar-biodeg,TabDPT_GPU,702,352,0.19285852334669676,0.3354644022156654,0.04579375684261322,0.043617818504571915,0.8835227489471436,0.007749802432954311
seismic-bumps,TabDPT_GPU,1722,862,0.10793262602232118,0.20660583495084722,0.015394138172268867,0.022688742727041245,0.9373549818992615,0.010271258652210236
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.047959658172365104,0.10047860003121947,0.015114037320017815,0.013187677599489689,0.9727232456207275,0.014039350673556328
